التصنيف,المستوى,السؤال,الإجابة,الموضوع
دين وسيرة,متوسط,من مؤلّف «فتح الباري» شرح صحيح البخاري؟,ابن حجر العسقلاني,الموسوعة ص989
دين وسيرة,صعب,من مؤلّف كتاب «صيد الخاطر»؟,ابن الجوزي,الموسوعة ص989
السيرة النبوية,صعب,من مؤلّف كتاب «الشفا بتعريف حقوق المصطفى»؟,القاضي عياض,الموسوعة ص989
دين وسيرة,متوسط,من مؤلّف كتاب «الطبّ النبوي»؟,ابن القيم,الموسوعة ص990
الفقه والعبادات,صعب,من مؤلّف كتاب «فقه السنّة»؟,السيد سابق,الموسوعة ص990
السيرة النبوية,صعب,من مؤلّف كتاب «الرحيق المختوم» في السيرة؟,صفي الرحمن المباركفوري,الموسوعة ص991
تاريخ وحضارات,صعب,من مؤلّف كتاب «الأحكام السلطانية»؟,الماوردي,الموسوعة ص991
القرآن الكريم,متوسط,من مؤلّف تفسير «في ظلال القرآن»؟,سيد قطب,الموسوعة ص997
أدب وفنون,صعب,من الفيلسوف الفرنسي مؤلّف كتاب «العقد الاجتماعي»؟,جان جاك روسو,الموسوعة ص992
أدب وفنون,صعب,من مؤلّف رواية «قصة مدينتين»؟,تشارلز ديكنز,الموسوعة ص992
أدب وفنون,متوسط,من مؤلّف سلسلة «العبقريات» عن أعلام الإسلام؟,عباس محمود العقاد,الموسوعة ص992
أدب وفنون,صعب,من مؤلّف كتاب «النظرات» و«العبرات»؟,مصطفى لطفي المنفلوطي,الموسوعة ص993
الصحابة والتابعون,صعب,من مؤلّف كتاب «رجال حول الرسول»؟,خالد محمد خالد,الموسوعة ص993
القرآن الكريم,تعجيزي,من مؤلّف كتاب «البرهان في علوم القرآن»؟,الزركشي,الموسوعة ص996
الفقه والعبادات,صعب,من مؤلّف موسوعة «الفقه الإسلامي وأدلّته»؟,وهبة الزحيلي,الموسوعة ص996
تاريخ وحضارات,صعب,من مؤلّف كتاب «الكامل في التاريخ»؟,ابن الأثير,الموسوعة ص996
تاريخ وحضارات,صعب,من مؤلّف كتاب «عجائب الآثار» الذي أرّخ للحملة الفرنسية على مصر؟,الجبرتي,الموسوعة ص997
أدب وفنون,صعب,من مؤلّف كتاب «عجائب المخلوقات وغرائب الموجودات»؟,القزويني,الموسوعة ص997
أدب وفنون,متوسط,من مؤلّف كتاب «لا تحزن»؟,عائض القرني,الموسوعة ص999
تاريخ وحضارات,تعجيزي,من مؤلّف كتاب «العواصم من القواصم» في الدفاع عن الصحابة؟,أبو بكر بن العربي,الموسوعة ص999
الفقه والعبادات,صعب,من مؤلّف كتاب «بداية المجتهد ونهاية المقتصد» في الفقه المقارن؟,ابن رشد,الموسوعة ص1000
تاريخ وحضارات,صعب,من المحدّث المؤرّخ صاحب كتاب «تاريخ بغداد»؟,الخطيب البغدادي,الموسوعة ص1002
تاريخ وحضارات,صعب,من المؤرّخ الدمشقي صاحب كتاب «تاريخ دمشق» الضخم؟,ابن عساكر,الموسوعة ص1002
دين وسيرة,متوسط,من التابعي الذي يُنسب إليه كتاب «تفسير الأحلام»؟,ابن سيرين,الموسوعة ص1002
أدب وفنون,صعب,من مؤلّف كتاب «ماذا خسر العالم بانحطاط المسلمين»؟,أبو الحسن الندوي,الموسوعة ص1005
دين وسيرة,تعجيزي,من مؤلّف كتاب «التاريخ الكبير» في تراجم رواة الحديث؟,الإمام البخاري,الموسوعة ص1002
أدب وفنون,صعب,من الشاعر الإنجليزي مؤلّف ملحمة «الفردوس المفقود»؟,جون ملتون,الموسوعة ص1008
أدب وفنون,صعب,من مؤلّف رواية «وا إسلاماه» التي تروي قصة قطز وجلنار؟,علي أحمد باكثير,الموسوعة ص1008
أدب وفنون,تعجيزي,من مؤلّف معجم التراجم «الأعلام»؟,خير الدين الزركلي,الموسوعة ص1011
أدب وفنون,تعجيزي,من مؤلّف كتاب «المستطرف في كلّ فنّ مستظرف»؟,الأبشيهي,الموسوعة ص1011
دين وسيرة,صعب,من مؤلّف كتاب «الملل والنحل» في الفرق والأديان؟,الشهرستاني,الموسوعة ص1012
أدب وفنون,تعجيزي,من مؤلّف كتاب «يتيمة الدهر» في تراجم الشعراء؟,الثعالبي,الموسوعة ص1012
أدب وفنون,تعجيزي,من مؤلّف «كشف الظنون عن أسامي الكتب والفنون»؟,حاجي خليفة,الموسوعة ص1013
