التصنيف,المستوى,السؤال,الإجابة,العائلة
درب الزلق,سهل,ما مهنة الجار بو صالح؟,بائع ثلج,
درب الزلق,سهل,ما اسم العامل الهندي الذي يلقّبه حسين بـ«الخبير»؟,غلام,
درب الزلق,سهل,ما العبارة التي اشتهر بها غلام؟,هذا لهم مال كلب,
درب الزلق,سهل,ماذا اكتشف الأخوان في شحنة الأحذية التي استورداها؟,كلّها فردة يسار,
درب الزلق,سهل,ما الذي أقنع المحتالُ حسينَ بشرائه في مصر؟,الأهرامات,
درب الزلق,سهل,ما اسم الأخ الأكبر لحسين؟,سعد,
درب الزلق,سهل,كيف أثرى الأخوان فجأة في بداية المسلسل؟,تثمين بيتهما,
درب الزلق,سهل,ما البضاعة التي استوردها حسين ظنّاً أنّ الأجانب سيشترونها؟,لحم كلاب,
درب الزلق,سهل,ما اسم الخال صاحب محلّ النعال؟,قحطة,
درب الزلق,متوسط,من تزوّجت أمّ سعد فأصيب حسين بانهيار عصبي؟,بو صالح,
درب الزلق,متوسط,ما اسم ابنة بو صالح التي أحبّها سعد؟,صالحة,
درب الزلق,متوسط,من الفنان الذي أدّى دور «أمّ سعد»؟,عبدالعزيز النمش,
درب الزلق,متوسط,ما مهنة الخال قحطة؟,صانع نعال,
درب الزلق,متوسط,إلى أيّ بلدٍ سافر حسين للنقاهة بعد خروجه من المستشفى؟,مصر,
درب الزلق,متوسط,ما المصنع الذي اشتراه حسين ثمّ أحرقه هرباً من الديون؟,مصنع كبريت,
درب الزلق,متوسط,لماذا رفضت شركة التأمين تعويض حسين عن حريق المصنع؟,اكتشفت أنّه أحرقه عمداً,
درب الزلق,متوسط,ما الاسم الحقيقي لأمّ سعد؟,فضّة,
درب الزلق,متوسط,إلى أيّ مدينةٍ سافر حسين في عملٍ فعاد ليجد أمّه قد تزوّجت؟,البصرة,
درب الزلق,متوسط,أين اشتغل حسين وسعد في نهاية المسلسل بعد ضياع الثروة؟,في محلّ خالهما قحطة,
درب الزلق,متوسط,ما الوظيفة التي شغلها حسين في شركة المدير بو خالد؟,فرّاش,
درب الزلق,صعب,من مخرج المسلسل؟,حمدي فريد,حمدي فريد
درب الزلق,صعب,ما الاسم الحقيقي لبو صالح؟,خالد المثلاج,
درب الزلق,صعب,كم حلقةً في المسلسل؟,13,
درب الزلق,صعب,من أدّى دور المحتال «فؤاد ابن سعيد باشا»؟,فؤاد راتب,
درب الزلق,صعب,ما اسم زوجة قحطة؟,نبوية شبشب,
درب الزلق,صعب,ما اسم المحامي الذي وكّله حسين للدفاع عنه؟,حديب بن ديره,
درب الزلق,صعب,ما اسم المدير الذي عمل حسين في شركته؟,بو خالد,
درب الزلق,صعب,ما اسم ابنة المدير بو خالد؟,أماني,
درب الزلق,صعب,بأيّ عبارةٍ اشتهر طبيب حسين في المستشفى النفسي؟,قول آآه,
درب الزلق,صعب,لمن زعم المحتال أنّ ملكيّة الأهرامات تعود؟,لأبيه سعيد باشا,
درب الزلق,تعجيزي,لمن كُتب دور بو صالح قبل أن يعتذر لظروفٍ صحّية؟,إبراهيم الصلال,
درب الزلق,تعجيزي,بماذا لقّب حسين الموظّفَ قصير القامة بو وائل؟,بلبول الشركة,
درب الزلق,تعجيزي,ما اسم المطوّع الذي عالج حسين؟,حجي بودمغى,
درب الزلق,تعجيزي,من أدّى دور صالح ابن بو صالح؟,سمير القلاف,
درب الزلق,تعجيزي,أين حاول حسين الانتحار بعد أن بدّد ثروته؟,الجليب (بئر البيت),
درب الزلق,تعجيزي,من أدّت دور صالحة ابنة بو صالح؟,فوزية المشعل,
درب الزلق,تعجيزي,من أدّى دور غلام؟,طارق منصور,
درب الزلق,تعجيزي,ما اسم رئيس لجنة التثمين؟,بو فخري,
درب الزلق,تعجيزي,من أدّى دور حجي بودمغى؟,إبراهيم الحربي,
درب الزلق,تعجيزي,من أدّى دور المدير بو خالد؟,عبدالله خريبط,
درب الزلق,تعجيزي,من أدّت دور نبوية شبشب؟,لمياء خطاب,
درب الزلق,تعجيزي,من غنّى في عرس قحطة ونبوية؟,صالح الحريبي,
درب الزلق,تعجيزي,من الفنان الذي كان مقرّراً أن يشارك ولم يشارك لظروفٍ غامضة؟,أحمد الصالح,
