التصنيف,المستوى,السؤال,الإجابة,الموضوع
من القائل؟,سهل,من قائل: «إذا الشعبُ يوماً أراد الحياة * فلا بدّ أن يستجيب القدر»؟,أبو القاسم الشابي,الموسوعة ص944
من القائل؟,سهل,من قائل: «أنا الذي نظر الأعمى إلى أدبي * وأسمعت كلماتي من به صمم»؟,المتنبي,الموسوعة ص947
من القائل؟,سهل,من قائل: «وما نيلُ المطالبِ بالتمنّي * ولكن تُؤخذ الدنيا غِلابا»؟,أحمد شوقي,الموسوعة ص951
من القائل؟,سهل,من قائل: «الأمُّ مدرسةٌ إذا أعددتَها * أعددتَ شعباً طيّبَ الأعراق»؟,حافظ إبراهيم,الموسوعة ص945
من القائل؟,سهل,من قائل: «نحن قومٌ أعزّنا الله بالإسلام، فمهما ابتغينا العزّة بغيره أذلّنا الله»؟,عمر بن الخطاب,الموسوعة ص942
من القائل؟,سهل,من قائل: «الدنيا مسرح كبير، وكلّ الرجال والنساء ممثّلون»؟,شكسبير,الموسوعة ص954
من القائل؟,متوسط,من قائل: «لا يسلمُ الشرفُ الرفيعُ من الأذى * حتى يُراق على جوانبه الدمُ»؟,المتنبي,الموسوعة ص941
من القائل؟,متوسط,من قائل: «إذا المرءُ لم يدنس من اللؤم عرضُه * فكلُّ رداءٍ يرتديه جميلُ»؟,السموأل,الموسوعة ص941
من القائل؟,متوسط,من قائل: «وظلمُ ذوي القربى أشدُّ مضاضةً * على المرء من وقع الحسام المهنّد»؟,طرفة بن العبد,الموسوعة ص943
من القائل؟,متوسط,من قائل: «إذا أنتَ أكرمتَ الكريمَ ملكتَه * وإن أنتَ أكرمتَ اللئيمَ تمرّدا»؟,المتنبي,الموسوعة ص944
من القائل؟,متوسط,من قائل: «مصائبُ قومٍ عند قومٍ فوائدُ»؟,المتنبي,الموسوعة ص944
من القائل؟,متوسط,من قائل: «أيّها الشاكي وما بك داءُ * كن جميلاً ترَ الوجودَ جميلا»؟,إيليا أبو ماضي,الموسوعة ص945
