التصنيف,المستوى,السؤال,الإجابة
بريكنغ باد,سهل,ما الاسم المستعار الذي اتّخذه والتر وايت في عالم المخدّرات؟,هايزنبرغ
بريكنغ باد,سهل,ما اسم تلميذ والتر السابق الذي صار شريكه؟,جيسي بينكمان
بريكنغ باد,سهل,ما المرض الذي شُخّص به والتر فدفعه إلى صناعة المخدّرات؟,سرطان الرئة
بريكنغ باد,سهل,ما اسم زوجة والتر؟,سكايلر
بريكنغ باد,سهل,ما اسم ابن والتر الذي يمشي بعكّازين؟,والتر جونيور
بريكنغ باد,سهل,ما اسم زوج أخت سكايلر الذي يعمل في مكافحة المخدّرات؟,هانك شرايدر
بريكنغ باد,سهل,في أيّ مدينة أمريكية تدور الأحداث؟,ألباكركي
بريكنغ باد,سهل,ما اسم المحامي الذي انبثق عنه مسلسل «بيتر كول سول»؟,سول غودمان
بريكنغ باد,سهل,ما اسم سلسلة مطاعم الدجاج التي يتّخذها غوس فرينغ غطاءً؟,لوس بويوس هيرمانوس
بريكنغ باد,سهل,ما لون الميث الذي اشتهر به والتر؟,الأزرق
بريكنغ باد,سهل,من الممثّل الذي أدّى والتر وايت؟,براين كرانستون
بريكنغ باد,سهل,من الممثّل الذي أدّى جيسي بينكمان؟,آرون بول
بريكنغ باد,سهل,أين طبخ والتر وجيسي الميث في البداية؟,في عربة سكن متنقّلة
بريكنغ باد,سهل,ما اسم القبّعة الشهيرة التي يعتمرها هايزنبرغ؟,قبّعة بورك باي
بريكنغ باد,سهل,ما الكلمة التي يكرّرها جيسي في نهاية جمله؟,بيتش
بريكنغ باد,سهل,أين كان والتر يعمل عملاً ثانياً بعد التدريس ليسدّ حاجته؟,مغسلة سيارات
بريكنغ باد,سهل,ما اسم زعيم الإمبراطورية الذي اشترى ميث والتر وأداره؟,غوس فرينغ
بريكنغ باد,سهل,بماذا قتل والتر غوس فرينغ؟,قنبلة على كرسي هيكتور المتحرّك
بريكنغ باد,سهل,ما اسم صديق جيسي الضخم الذي يبيع الميث؟,بادجر
بريكنغ باد,سهل,ما العبارة الشهيرة التي قالها والتر لسكايلر عندما اعترف بقوّته؟,أنا من يطرق الباب
بريكنغ باد,متوسط,ما اسم الرجل الذي يعمل «منظّفاً» ومساعداً لغوس وسول؟,مايك إيرمانتراوت
بريكنغ باد,متوسط,ما اسم شقيقة سكايلر زوجة هانك التي تسرق من المتاجر؟,ماري
بريكنغ باد,متوسط,ما اسم الشركة التي أسّسها والتر مع صديقيه ثمّ تركها؟,غراي ماتر
بريكنغ باد,متوسط,ما اسم ابنة والتر وسكايلر الرضيعة؟,هولي
بريكنغ باد,متوسط,ما اسم تاجر المخدّرات المجنون الذي قتله والتر في الموسم الأوّل؟,توكو سالامانكا
بريكنغ باد,متوسط,ما اسم العجوز المقعد الذي يتكلّم بالجرس؟,هيكتور سالامانكا
بريكنغ باد,متوسط,ما اسم حبيبة جيسي التي ماتت بجرعة زائدة أمام والتر؟,جين
بريكنغ باد,متوسط,ما اسم الطفل الصغير الذي أُطلق عليه النار بعد سرقة القطار؟,درو شارب
بريكنغ باد,متوسط,ما اسم الكيميائي الذي عمل مع والتر في مختبر غوس وقتله جيسي؟,غيل بوتيكر
بريكنغ باد,متوسط,ما اسم الشركة التي استخدمها والتر لتبييض المال؟,مغسلة سيارات
بريكنغ باد,متوسط,ما اسم مغسلة السيارات؟,إيه ون (A1)
بريكنغ باد,متوسط,ما اسم عصابة النازيين الجدد التي احتجزت جيسي في الموسم الأخير؟,عصابة جاك ويلكر
بريكنغ باد,متوسط,ما اسم الشابّ الذي قتل غيل وأُجبر على العمل للنازيين؟,تود ألكويست
بريكنغ باد,متوسط,ما اسم المادّة الكيميائية التي يجلبها والتر من المصنع (المادة الأساسية للميث)؟,ميثيلامين
بريكنغ باد,متوسط,ما اسم شركة الغسيل الصناعي التي يخفي غوس المختبر تحتها؟,لافانديريا برييانتي
بريكنغ باد,متوسط,ما اسم الحبيبة الجديدة لجيسي أمّ الطفل بروك؟,أندريا
بريكنغ باد,متوسط,بماذا سمّم والتر الطفل بروك؟,نبتة زنبق الوادي
بريكنغ باد,متوسط,ما السمّ الذي احتفظ به والتر في الجدار لسنوات؟,الريسين
بريكنغ باد,متوسط,ما اسم صديق جيسي النحيل صاحب الشعر الطويل؟,سكيني بيت
بريكنغ باد,متوسط,في أيّ صحراء دفن والتر أمواله؟,صحراء نيومكسيكو (توهاجيلي)
بريكنغ باد,صعب,ما اسم الكارتل المكسيكي الذي تعامل معه غوس؟,كارتل خواريز
بريكنغ باد,صعب,ما اسم زعيم الكارتل الذي سمّمه غوس في المكسيك؟,دون إلاديو
بريكنغ باد,صعب,ما اسم أبناء عمّ توكو القاتلين الصامتين؟,التوأمان سالامانكا (ليونيل وماركو)
