id,category,action,note,question,answer,new_question,new_answer
"ADM1526","أحياء وفلك","تبديل","رقم لا طريق إليه (600 كغ)","كم يبلغ وزن قلب الحوت الأزرق تقريباً بالكيلوغرامات؟","ستّمئة","ما اسم أكبر طيور القطب الجنوبيّ التي لا تطير، ويحضن ذكرُها بيضته فوق قدميه طوال الشتاء؟","البطريق الإمبراطور"
"ADM1528","أحياء وفلك","تبديل","رقم لا طريق إليه (95 قمراً)","كم قمراً للمشتري تقريباً؟","خمسة وتسعون","ما اسم قمر المشتري الذي يُعدّ أكثر أجرام المجموعة الشمسيّة نشاطاً بركانيّاً؟","آيو"
"ADM1534","أحياء وفلك","تبديل","اسم لا يعرفه أحد (سمكة الحلزون)","بأيّ اسمٍ يُعرف أعمق كائنٍ حيّ رُصد في المحيط؟","سمكة الحلزون","أيّ كائنٍ بحريّ يُعدّ الأسرع في المحيطات، ويشتهر بزعنفةٍ ظهريّة ضخمة ينشرها وقت الصيد؟","سمكة الشراع"
"ADM1535","أحياء وفلك","تبديل","الجواب يظهر في السؤال المعاد صياغته","أيّ شجرةٍ تُعدّ أقدم كائنٍ حيّ على الأرض؟","الصنوبر المعمّر","ما اسم أطول شجرةٍ في العالم، وتنمو على ساحل كاليفورنيا ويتجاوز طولها مئة متر؟","السكويا"
"ADM2804","أحياء وفلك","قرينة","المهمّة الصينيّة قرينة","ما أوّل نباتٍ أُنبت على سطح القمر سنة 2019؟","القطن","ما أوّل نباتٍ أنبتته مهمّةٌ صينيّة على سطح القمر سنة 2019؟",""
"ADM2805","أحياء وفلك","قرينة","كان الجواب («الخالد») في السؤال","أيّ كائنٍ بحريّ يُوصف بأنّه «خالدٌ بيولوجيّاً» لقدرته على العودة إلى طور الشباب؟","قنديل البحر الخالد","أيّ كائنٍ بحريّ هلاميّ يستطيع العودة إلى طور الشباب بعد البلوغ، فوُصف بأنّه لا يموت موتاً طبيعيّاً؟",""
"ADM2807","أحياء وفلك","قرينة","موطنها قرينة","ما اسم أكبر زهرةٍ في العالم ورائحتها كاللحم المتعفّن؟","الرافليسيا","ما اسم أكبر زهرةٍ في العالم، تنمو في غابات إندونيسيا وماليزيا ورائحتها كاللحم المتعفّن؟",""
"ADM1388","أدب وفنون","تبديل","وظيفة رولينغ لا يعرفها أحد","جي كي رولينغ عملت قبل هاري بوتر في وظيفةٍ مكتبيّة — ما هي؟","سكرتيرة","في أيّ مدينةٍ اسكتلنديّة كتبت جي كي رولينغ أوّل أجزاء هاري بوتر في مقاهيها؟","إدنبرة"
"ADM4324","أدب وفنون","تبديل","الاسم الحقيقيّ للأخطل مستحيل","ما الاسم الحقيقي للشاعر الأموي الأخطل؟","غياث بن غوث التغلبي","لأيّ خليفةٍ أمويّ كان الأخطل شاعرَ البلاط ومدّاحه الأوّل؟","عبد الملك بن مروان"
"ADM4332","أدب وفنون","تبديل","سولي برودوم مستحيل","من أوّل من فاز بجائزة نوبل للآداب سنة 1901؟","سولي برودوم","من الكاتب الروسيّ الذي أُجبر على رفض نوبل للآداب سنة 1958 بسبب روايته «دكتور زيفاغو»؟","بوريس باسترناك"
"ADM4346","أدب وفنون","تبديل","اسم البحتري مستحيل","ما اسم الشاعر البحتري؟","الوليد بن عبيد","إلى أيّ مدينةٍ سوريّة يُنسب الشاعر البحتري ووُلد فيها؟","منبج"
"ADM4347","أدب وفنون","حجب","الاسم الحقيقيّ لأبي العتاهية مستحيل","ما الاسم الحقيقي للشاعر أبي العتاهية؟","إسماعيل بن القاسم","",""
"ADM5624","أعلام دول","قرينة","القارّة قرينة","علم أيّ دولة هذا؟","أوغندا","علم أيّ دولةٍ أفريقيّة هذا؟",""
"ADM5625","أعلام دول","قرينة","القارّة قرينة","علم أيّ دولة هذا؟","مدغشقر","علم أيّ دولةٍ أفريقيّة هذا؟",""
"ADM5626","أعلام دول","قرينة","القارّة قرينة","علم أيّ دولة هذا؟","بوتسوانا","علم أيّ دولةٍ أفريقيّة هذا؟",""
"ADM6114","أعلام دول","قرينة","القارّة قرينة","علم أيّ دولة هذا؟","إسواتيني","علم أيّ دولةٍ أفريقيّة هذا؟",""
"ADM6115","أعلام دول","قرينة","القارّة قرينة","علم أيّ دولة هذا؟","ليسوتو","علم أيّ دولةٍ أفريقيّة هذا؟",""
"ADM6116","أعلام دول","قرينة","القارّة قرينة","علم أيّ دولة هذا؟","سيشل","علم أيّ دولةٍ أفريقيّة هذا؟",""
"ADM6117","أعلام دول","قرينة","القارّة قرينة","علم أيّ دولة هذا؟","ساو تومي وبرينسيب","علم أيّ دولةٍ أفريقيّة هذا؟",""
"ADM6118","أعلام دول","قرينة","القارّة قرينة","علم أيّ دولة هذا؟","غينيا بيساو","علم أيّ دولةٍ أفريقيّة هذا؟",""
"ADM6095","أعلام دول","قرينة","المنطقة قرينة","علم أيّ دولة هذا؟","أنتيغوا وباربودا","علم أيّ دولةٍ كاريبيّة هذا؟",""
"ADM6096","أعلام دول","قرينة","المنطقة قرينة","علم أيّ دولة هذا؟","باربادوس","علم أيّ دولةٍ كاريبيّة هذا؟",""
"ADM6097","أعلام دول","قرينة","المنطقة قرينة","علم أيّ دولة هذا؟","الباهاما","علم أيّ دولةٍ كاريبيّة هذا؟",""
"ADM6098","أعلام دول","قرينة","المنطقة قرينة","علم أيّ دولة هذا؟","دومينيكا","علم أيّ دولةٍ كاريبيّة هذا؟",""
"ADM6099","أعلام دول","قرينة","المنطقة قرينة","علم أيّ دولة هذا؟","غرينادا","علم أيّ دولةٍ كاريبيّة هذا؟",""
"ADM6100","أعلام دول","قرينة","المنطقة قرينة","علم أيّ دولة هذا؟","سانت لوسيا","علم أيّ دولةٍ كاريبيّة هذا؟",""
"ADM6101","أعلام دول","قرينة","المنطقة قرينة","علم أيّ دولة هذا؟","سانت كيتس ونيفيس","علم أيّ دولةٍ كاريبيّة هذا؟",""
"ADM6102","أعلام دول","قرينة","المنطقة قرينة","علم أيّ دولة هذا؟","سانت فينسنت والغرينادين","علم أيّ دولةٍ كاريبيّة هذا؟",""
"ADM6103","أعلام دول","قرينة","المنطقة قرينة","علم أيّ دولة هذا؟","ترينيداد وتوباغو","علم أيّ دولةٍ كاريبيّة هذا؟",""
"ADM6104","أعلام دول","قرينة","المنطقة قرينة","علم أيّ دولة هذا؟","هايتي","علم أيّ دولةٍ كاريبيّة هذا؟",""
"ADM6105","أعلام دول","قرينة","المنطقة قرينة","علم أيّ دولة هذا؟","بليز","علم أيّ دولةٍ في أمريكا الوسطى هذا؟",""
"ADM6106","أعلام دول","قرينة","المنطقة قرينة","علم أيّ دولة هذا؟","غيانا","علم أيّ دولةٍ في أمريكا الجنوبيّة هذا؟",""
"ADM6107","أعلام دول","قرينة","المنطقة قرينة","علم أيّ دولة هذا؟","كيريباتي","علم أيّ دولةٍ في المحيط الهادئ هذا؟",""
"ADM6108","أعلام دول","قرينة","المنطقة قرينة","علم أيّ دولة هذا؟","ناورو","علم أيّ دولةٍ في المحيط الهادئ هذا؟",""
"ADM6109","أعلام دول","قرينة","المنطقة قرينة","علم أيّ دولة هذا؟","توفالو","علم أيّ دولةٍ في المحيط الهادئ هذا؟",""
"ADM6110","أعلام دول","قرينة","المنطقة قرينة","علم أيّ دولة هذا؟","فانواتو","علم أيّ دولةٍ في المحيط الهادئ هذا؟",""
"ADM6111","أعلام دول","قرينة","المنطقة قرينة","علم أيّ دولة هذا؟","جزر سليمان","علم أيّ دولةٍ في المحيط الهادئ هذا؟",""
"ADM6112","أعلام دول","قرينة","المنطقة قرينة","علم أيّ دولة هذا؟","بابوا غينيا الجديدة","علم أيّ دولةٍ في المحيط الهادئ هذا؟",""
"ADM6113","أعلام دول","قرينة","المنطقة قرينة","علم أيّ دولة هذا؟","جزر مارشال","علم أيّ دولةٍ في المحيط الهادئ هذا؟",""
"ADM6119","أعلام دول","قرينة","المنطقة قرينة","علم أيّ دولة هذا؟","تركمانستان","علم أيّ دولةٍ في آسيا الوسطى هذا؟",""
"ADM0799","أغاني وطرب","حجب","رقم (16 فيلماً)","كم فيلماً مثّل فيه المطرب عبد الحليم حافظ؟","16","",""
"ADM0837","أغاني وطرب","حجب","رقم (137 أغنية)؛ والواقعة في ADM0780","كم أغنية كتبها أحمد رامي لأم كلثوم؟","137","",""
"ADM0838","أغاني وطرب","حجب","رقم (48 سنة)","كم سنة استمرّ التعاون الفنّي بين أم كلثوم والشاعر أحمد رامي؟","48","",""
"ADM0840","أغاني وطرب","حجب","رقم (31 فيلماً)","كم فيلماً مثّل فيه الموسيقار فريد الأطرش؟","31","",""
"ADM0863","أغاني وطرب","حجب","رقم (64 أغنية)","كم أغنية كتبها بدر بن عبد المحسن للفنان طلال مداح؟","64","",""
"ADM1677","أغاني وطرب","حجب","رقم (50 دقيقة)","كم دقيقةً بلغت أطول حفلةٍ لأغنية «الأطلال» تقريباً؟","خمسون","",""
"ADM1692","أغاني وطرب","تبديل","سنة أوّل غرامي مستحيلة","في أيّ سنةٍ أُقيم أوّل حفل جوائز غرامي؟","1959","من الفنّانة صاحبة الرقم القياسيّ في عدد جوائز غرامي؟","بيونسيه"
"ADM1635","أكلات","تبديل","رقم (150 ألف زهرة)","كم زهرةً يلزم لإنتاج كيلوغرامٍ واحد من الزعفران تقريباً؟","مئة وخمسون ألفاً","أيّ بلدٍ ينتج نحو تسعين بالمئة من زعفران العالم؟","إيران"
"ADM1647","أكلات","تبديل","نيكولا أبير مستحيل","من ابتكر فكرة تعليب الطعام لجيش نابليون؟","نيكولا أبير","أيّ دولةٍ أوروبيّة يُنسب إليها ابتكار الكرواسون رغم شهرته الفرنسيّة؟","النمسا"
"ADM1650","أكلات","تبديل","رقم (20 ألف لتر)","كم لتراً من الماء يلزم لإنتاج كيلوغرامٍ من البنّ تقريباً؟","عشرون ألفاً","ما اسم أغلى بنٍّ في العالم، ويُستخرج من فضلات حيوان الزبّاد في إندونيسيا؟","كوبي لواك"
"ADM1654","أكلات","تبديل","كازو مارزو مستحيل","جبنٌ إيطاليّ من سردينيا يحتوي على يرقاتٍ حيّة — ما اسمه؟","كازو مارزو","ما اسم الجبن الفرنسيّ الأزرق الذي يُعتَّق في كهوف قريةٍ تحمل اسمه؟","روكفور"
"ADM2781","أكلات","تبديل","جبن «بوله» مستحيل","ما اسم أغلى جبنٍ في العالم ويُصنع في صربيا من حليب الحمير؟","بوله","ما اسم الجبن الهولنديّ الذي يُباع كراتٍ مغلّفة بشمعٍ أحمر؟","إيدام"
"ADM2784","أكلات","تبديل","دانيال بيتر مستحيل","من السويسريّ الذي ابتكر شوكولاتة الحليب سنة 1875؟","دانيال بيتر","أيّ علامةٍ سويسريّة للشوكولاتة تحمل اسم مخترع تقنية «الكونش» التي جعلتها ناعمة؟","لينت"
"ADM2785","أكلات","تبديل","كاليب برادهام مستحيل","من الصيدلانيّ الأمريكيّ الذي ابتكر شراب «بيبسي» سنة 1893؟","كاليب برادهام","بأيّ اسمٍ بِيع شراب بيبسي في سنواته الأولى قبل أن يحمل اسمه الحاليّ؟","براد درينك (Brad’s Drink)"
"ADM1334","ألعاب فيديو","حجب","مؤسّس نينتندو مستحيل","من مؤسّس شركة نينتندو؟","فوساجيرو ياماوتشي","",""
"ADM1342","ألعاب فيديو","حجب","كمبيوتر سبيس مستحيل","ما اسم أوّل لعبة فيديو تجاريّة في التاريخ؟","كمبيوتر سبيس","",""
"ADM1347","ألعاب فيديو","حجب","رقم (90 دولاراً)","بكم دولاراً طُرح جهاز الجيم بوي عند إطلاقه؟","تسعون","",""
"ADM2580","ألعاب فيديو","حجب","أونوما مستحيل","من منتج سلسلة «زيلدا» منذ سنواتٍ طويلة الذي أشرف على «بريث أوف ذا وايلد»؟","إيجي أونوما","",""
