التصنيف,المستوى,السؤال,الإجابة,العائلة
معلومات عامة,سهل,"ما اسم الرقص الإسباني الشعبي بالتصفيق وقرع الكعبين، ومهده الأندلس؟","الفلامنكو",
معلومات عامة,سهل,"ما اسم الأزمة الاقتصادية العالمية التي بدأت بانهيار بورصة نيويورك؟","الكساد الكبير",
معلومات عامة,سهل,"ما الشخصية الإنجليزية الأسطورية التي تسرق من الأغنياء لتعطي الفقراء؟","روبن هود",
معلومات عامة,سهل,"ما آلة الإعدام التي اشتهرت بها الثورة الفرنسية؟","المقصلة",
معلومات عامة,سهل,"ما الإله الإسكندنافي حامل المطرقة وسيّد الرعد؟","ثور",
معلومات عامة,سهل,"ما اسم الساحر العجوز في أساطير الملك آرثر؟","ميرلين",الملك آرثر
معلومات عامة,متوسط,"في أيّ مدينة اغتيل وليّ عهد النمسا فاشتعلت الحرب العالمية الأولى؟","سراييفو",
معلومات عامة,متوسط,"ما الكتاب الصيني القديم في الخطط العسكرية الذي يُقرأ اليوم في الإدارة والسياسة؟","فن الحرب",
معلومات عامة,متوسط,"ما الأبجدية التي تُكتب بها اللغة الروسية؟","السيريلية",
معلومات عامة,متوسط,"ما القصيدة الشهيرة في مدح النبيّ ﷺ التي نظمها البوصيري؟","البردة",
معلومات عامة,متوسط,"من البطل الإغريقي الذي قتل الوحش الذي نصفه ثور في متاهة كريت؟","ثيسيوس",
معلومات عامة,متوسط,"ما الشابّ الإغريقيّ الذي عشق صورته في الماء فصار اسمه وصفاً للمعجب بنفسه؟","نرسيس",
معلومات عامة,صعب,"ما المعركة التي انتصر فيها يوسف بن تاشفين على ملك قشتالة في الأندلس؟","الزلاقة",
معلومات عامة,صعب,"ما الرواية التي يستيقظ بطلها ذات صباح فيجد نفسه حشرةً ضخمة؟","المسخ",
معلومات عامة,صعب,"ما الطائفة التي اتّخذت قلعة «ألموت» معقلاً واشتهرت بالاغتيالات؟","الحشّاشون",
معلومات عامة,صعب,"من سرق النار من آلهة الإغريق وأعطاها للبشر فعوقب بالتقييد إلى صخرة؟","بروميثيوس",
معلومات عامة,صعب,"ما اسم الطائر الخرافيّ العملاق الذي حمل السندباد في «ألف ليلة وليلة»؟","الرّخ",
معلومات عامة,صعب,"ما الخطّة الأمريكية لإعادة إعمار أوروبا بعد الحرب العالمية الثانية؟","مشروع مارشال",
