التصنيف,المستوى,السؤال,الإجابة
ديكستر,سهل,ما وظيفة ديكستر مورغان في شرطة ميامي؟,محلّل بقع الدم
ديكستر,سهل,ما اسم شقيقة ديكستر التي تعمل شرطية معه؟,ديبرا
ديكستر,سهل,في أيّ مدينة أمريكية تدور الأحداث؟,ميامي
ديكستر,سهل,من الممثّل الذي أدّى ديكستر؟,مايكل سي هول
ديكستر,سهل,ما اسم القانون الذي علّمه والده بالتبنّي ليختار ضحاياه من القتلة فقط؟,قانون هاري
ديكستر,سهل,ما اسم والد ديكستر بالتبنّي الشرطي؟,هاري مورغان
ديكستر,سهل,ما اسم زوجة ديكستر التي قتلها «قاتل الثالوث»؟,ريتا
ديكستر,سهل,ما اسم ابن ديكستر وريتا؟,هاريسون
ديكستر,سهل,ماذا يحتفظ ديكستر به من كلّ ضحية كتذكار؟,شريحة دم على شريحة زجاجية
ديكستر,سهل,أين يرمي ديكستر أكياس ضحاياه؟,في المحيط (من قاربه)
ديكستر,سهل,ما اسم قارب ديكستر؟,سلايس أوف لايف
ديكستر,سهل,بماذا يلفّ ديكستر الغرفة قبل قتل ضحيّته؟,بلاستيك شفّاف
ديكستر,سهل,ما الاسم الذي يطلقه ديكستر على دافعه الداخلي للقتل؟,الراكب المظلم
ديكستر,سهل,ما اسم القاتل المتسلسل في الموسم الأوّل الذي يترك جثثاً بلا دم؟,قاتل شاحنة الثلج
ديكستر,سهل,ما اسم القاتل المتسلسل الذي أدّاه جون ليثغو في الموسم الرابع؟,قاتل الثالوث
ديكستر,سهل,ما اسم ابنة ريتا؟,أستور
ديكستر,سهل,ما اسم ابن ريتا؟,كودي
ديكستر,سهل,ما اسم الرقيب الذي شكّ في ديكستر منذ البداية؟,جيمس دوكس
ديكستر,سهل,ما اسم زميل ديكستر المحقّق الشابّ الغزِل؟,جوي كوين
ديكستر,سهل,ما اسم زميل ديكستر الطبيب الشرعي القصير المرح؟,فينس ماسوكا
ديكستر,متوسط,من كان «قاتل شاحنة الثلج» في الحقيقة؟,براين موزر شقيق ديكستر
ديكستر,متوسط,ما الاسم الحقيقي لقاتل الثالوث؟,آرثر ميتشل
ديكستر,متوسط,ما اسم الملازم رئيسة القسم التي تُدعى «لاغويرتا»؟,ماريا لاغويرتا
ديكستر,متوسط,ما اسم المحقّق الكوبي زوج لاغويرتا لاحقاً؟,أنخل باتيستا
ديكستر,متوسط,ما اسم الممثّلة التي أدّت ديبرا؟,جينيفر كاربنتر
ديكستر,متوسط,ما اسم المدّعي العام الذي صادق ديكستر ثمّ اكتشف سرّه في الموسم الثالث؟,ميغيل برادو
ديكستر,متوسط,ما اسم القاتل الملقّب «قاتل نهاية العالم» في الموسم السادس؟,ترافيس مارشال
ديكستر,متوسط,ما اسم البروفيسور الذي «رافق» ترافيس مارشال وكان في الحقيقة ميتاً؟,جيمس غيلار
ديكستر,متوسط,ما اسم المرأة التي أحبّها ديكستر في الموسم الخامس وساعدها في الانتقام؟,لومن
ديكستر,متوسط,ما اسم الطبيبة النفسية التي ألّفت «قانون هاري» مع هاري في الموسم الثامن؟,إيفلين فوغل
ديكستر,متوسط,ما اسم القاتلة السامّة التي عشقها ديكستر في الموسم السابع؟,هانا مكاي
ديكستر,متوسط,ما اسم رئيس المافيا الأوكرانية الذي طارد ديكستر في الموسم السابع؟,آيزاك سيركو
ديكستر,متوسط,في الموسم الأوّل، أين عُثر على ديكستر طفلاً وسط الدم؟,في حاوية شحن
ديكستر,متوسط,ما اسم والدة ديكستر البيولوجية التي قُتلت أمامه؟,لورا موزر
ديكستر,متوسط,في أيّ موسم تزوّج ديكستر ريتا؟,الثالث
ديكستر,متوسط,ما اسم زوج ريتا السابق المدمن الذي عاد ليهدّدها؟,بول بينيت
ديكستر,متوسط,كم موسماً للمسلسل الأصلي؟,ثمانية
ديكستر,متوسط,ما اسم مسلسل العودة الذي عُرض عام 2021؟,ديكستر: نيو بلود
ديكستر,متوسط,على أيّ شبكة أمريكية عُرض؟,شوتايم
ديكستر,متوسط,في أيّ عام عُرضت الحلقة الأولى؟,2006
ديكستر,صعب,ما اسم البلدة الثلجية التي اختبأ فيها ديكستر في «نيو بلود»؟,آيرون ليك
ديكستر,صعب,ما الاسم الذي انتحله ديكستر في «نيو بلود»؟,جيم ليندزي
ديكستر,صعب,ما اسم المسلسل الذي روى شباب ديكستر؟,ديكستر: أوريجينال سين
ديكستر,صعب,ما اسم الرواية التي اقتُبس منها المسلسل؟,ديكستر الحالم المظلم
ديكستر,صعب,من مؤلّف روايات ديكستر؟,جيف ليندزي
ديكستر,صعب,ما اسم التيار البحري الذي يرمي فيه ديكستر أكياس ضحاياه؟,تيار الخليج (غلف ستريم)
ديكستر,صعب,أين احتجز ديكستر الرقيب دوكس قبل موته؟,في كوخ في المستنقعات
ديكستر,صعب,ما اسم راعية ديكستر في مجموعة المدمنين المهووسة به والتي أحرقت الكوخ؟,ليلى
ديكستر,صعب,ما اسم أخ ميغيل برادو الذي قُتل فبدأت القصّة؟,أوسكار برادو
ديكستر,صعب,من قتل الملازم لاغويرتا في نهاية الموسم السابع؟,ديبرا
ديكستر,صعب,ما اسم القاتل «جرّاح الدماغ» في الموسم الثامن؟,أوليفر ساكسون
ديكستر,صعب,ما صلة أوليفر ساكسون بالدكتورة فوغل؟,ابنها
ديكستر,صعب,ما مهنة ميغيل برادو؟,مساعد المدّعي العام
ديكستر,صعب,كيف قتل ديكستر قاتل الثالوث؟,بمطرقة
ديكستر,صعب,ما مصير ديكستر في نهاية الموسم الثامن؟,صار حطّاباً في أوريغون
ديكستر,صعب,ما اسم مربّية هاريسون الأيرلندية؟,جيمي باتيستا
ديكستر,صعب,من الممثّل الذي أدّى الرقيب دوكس؟,إريك كينغ
ديكستر,صعب,من الممثّل الذي أدّى أنخل باتيستا؟,ديفيد زاياس
ديكستر,صعب,من الممثّلة التي أدّت ريتا؟,جولي بنز
ديكستر,صعب,من قتل ريتا؟,آرثر ميتشل (قاتل الثالوث)
ديكستر,تعجيزي,من الشرطية حبيبة ديكستر في «نيو بلود»؟,أنجيلا بيشوب
ديكستر,تعجيزي,ما اسم القاتل المتسلسل في «نيو بلود» الذي يطارد الفتيات الهاربات؟,كيرت كالدويل
ديكستر,تعجيزي,من قتل ديكستر في نهاية «نيو بلود»؟,هاريسون
ديكستر,تعجيزي,ما اسم مقدّمة البودكاست الجريمة في «نيو بلود»؟,مولي بارك
ديكستر,تعجيزي,من الممثّل الذي أدّى ديكستر الشابّ في «أوريجينال سين»؟,باتريك غيبسون
ديكستر,تعجيزي,ما اسم زوجة هاري والدة ديبرا؟,دوريس
ديكستر,تعجيزي,في الموسم الثاني، ما اللقب الذي أطلقته الصحافة على القاتل الذي اكتُشفت ضحاياه في البحر؟,جزّار مرفأ الخليج
ديكستر,تعجيزي,من عميل مكتب التحقيقات الذي حقّق في «جزّار مرفأ الخليج»؟,فرانك لاندي
ديكستر,تعجيزي,من الممثّل الذي أدّى فرانك لاندي؟,كيث كارادين
ديكستر,تعجيزي,ما اسم الممثّل الذي أدّى ميغيل برادو؟,جيمي سميتس
ديكستر,تعجيزي,ما اسم الحلقة الأخيرة من الموسم الثامن؟,تذكّرني بالوحوش
ديكستر,تعجيزي,ما عدد حلقات المسلسل الأصلي؟,96
ديكستر,تعجيزي,ما اسم المرأة التي رحل ديكستر معها إلى الأرجنتين في خطّته الأخيرة؟,هانا مكاي
ديكستر,تعجيزي,ما اسم الإعصار الذي «مات» فيه ديكستر في نهاية الموسم الثامن؟,لورا
ديكستر,تعجيزي,من الممثّلة التي أدّت هانا مكاي؟,إيفون ستراهوفسكي
ديكستر,تعجيزي,من الممثّلة التي أدّت لومن؟,جوليا ستايلز
ديكستر,تعجيزي,من الممثّلة التي أدّت لاغويرتا؟,لورين فيليز
ديكستر,تعجيزي,من ابتكر المسلسل للتلفزيون؟,جيمس مانوس جونيور
ديكستر,تعجيزي,ما اسم القاتل الذي قتل ديكستر والدته في الموسم الثاني (قاتل لورا موزر)؟,سانتوس خيمينيز
ديكستر,تعجيزي,ما اسم القاتل في الموسم الثالث الملقّب «السالخ»؟,جورج كينغ
