التصنيف,المستوى,السؤال,الإجابة,العائلة
الحيالة,سهل,من كتبت المسلسل؟,فجر السعيد,
الحيالة,سهل,ما اسم العائلة التي تدور حولها الأحداث؟,علف,
الحيالة,سهل,ما اسم الشخصية التي أدّاها عبدالحسين عبدالرضا؟,دواس,
الحيالة,سهل,ما اسم الأخ الأكبر المتمسّك بالعادات الرافض لكلّ جديد؟,مانع,
الحيالة,سهل,من أدّت دور «لولوة»؟,إلهام الفضالة,
الحيالة,سهل,من أدّى دور مانع؟,خالد النفيسي,
الحيالة,سهل,كم زوجةً كان دواس متزوّجاً سرّاً؟,اثنتين,
الحيالة,متوسط,في أيّ عام عُرض المسلسل أوّل مرّة؟,2003,
الحيالة,متوسط,ما اسم أخت دواس ومانع الصغرى؟,فتون,
الحيالة,متوسط,من أدّت دور فتون؟,فخرية خميس,
الحيالة,متوسط,ما اسم المرأة الثريّة التي تزوّجها دواس طمعاً في مالها؟,حكيمة (أمّ ماجد),
الحيالة,متوسط,من غنّى شارة البداية؟,عبدالحسين عبدالرضا,
الحيالة,متوسط,لماذا تزوّج دواس حكيمة؟,ليأخذ مالها ويعطيه زوجته الأولى لولوة,
الحيالة,متوسط,في أيّ شهرٍ هجريّ عُرض المسلسل أوّل مرّة؟,رمضان,
الحيالة,متوسط,ما السرّ الذي انكشف عن فتون في الحلقة الأخيرة؟,شرب الشيشة,
الحيالة,صعب,من مخرج المسلسل؟,البيلي أحمد,
الحيالة,صعب,من أدّت دور حكيمة أمّ ماجد؟,أمل عباس,
الحيالة,صعب,كم حلقةً في المسلسل؟,30,
الحيالة,صعب,ما عمل حكيمة؟,الطبخ وتوصيل الطلبات,
الحيالة,صعب,أيّ شخصيةٍ أدّاها سعيد سالم؟,عيد بن شاكر,
الحيالة,صعب,ما الشخصية التي أدّاها محمد الصيرفي؟,سلامة,
الحيالة,صعب,من الفنانة الجديدة آنذاك التي أدّت شخصية «خطر»؟,مها سالم,
الحيالة,صعب,ما اسم والد الإخوة علف كما يرد في أسمائهم؟,يوسف,
الحيالة,تعجيزي,ما اسم أمّ لولوة؟,نسيمة,
الحيالة,تعجيزي,من أدّى دور «شاهين يوسف علف»؟,مشاري البلام,
الحيالة,تعجيزي,من أدّى دور «جراح يوسف علف»؟,محمود بوشهري,
الحيالة,تعجيزي,ما الجهة التي نفّذت إنتاج المسلسل؟,مركز الفنون للإنتاج الفني,
الحيالة,تعجيزي,من أدّى دور ماجد ابن حكيمة؟,يعقوب عبدالله,
الحيالة,تعجيزي,من أدّى دور فوزي؟,حسن عبدالرسول,
الحيالة,تعجيزي,من أدّت دور ميسون؟,نادية كرم,
الحيالة,تعجيزي,من أدّت دور نسيمة أمّ لولوة؟,ساهرة,
الحيالة,تعجيزي,من أدّت دور الطقّاقة أمّ فيصل؟,زهرة دعيج,
الحيالة,تعجيزي,بماذا يختلف جراح وشاهين عن إخوتهما مانع ودواس وفتون؟,أمّهما مختلفة (إخوة من الأب),
