التصنيف,المستوى,السؤال,الإجابة,العائلة
معلومات عامة,سهل,"من أوّل رئيسٍ أمريكيّ من أصلٍ أفريقيّ؟","باراك أوباما",
معلومات عامة,سهل,"من المستشارة الألمانيّة التي حكمت ستّة عشر عاماً؟","أنجيلا ميركل",
معلومات عامة,سهل,"ما الأسرة الحاكمة في البحرين؟","آل خليفة",
معلومات عامة,سهل,"ما الأسرة الحاكمة في قطر؟","آل ثاني",
معلومات عامة,سهل,"بأيّ سلاحٍ اشتهرت الانتفاضة الفلسطينيّة الأولى حتى سُمّيت به؟","الحجارة",
معلومات عامة,سهل,"من الزعيم الفلسطينيّ الذي نال جائزة نوبل للسلام؟","ياسر عرفات",
معلومات عامة,سهل,"من أوّل رئيسٍ لدولة الإمارات العربيّة المتحدة؟","الشيخ زايد بن سلطان",
معلومات عامة,سهل,"من السلطان العُمانيّ الذي حكم خمسين عاماً حتى وفاته؟","السلطان قابوس",
معلومات عامة,سهل,"ما اللقب الذي كان يحمله حاكم إيران قبل الثورة؟","الشاه",
معلومات عامة,سهل,"ما اللقب الذي كان يحمله حكّام روسيا قبل الثورة البلشفيّة؟","القيصر",
معلومات عامة,سهل,"بأيّ لقبٍ سمّى العرب ملوك الفرس؟","كسرى",
معلومات عامة,متوسط,"ما الأسرة الحاكمة في سلطنة عُمان؟","آل سعيد",
معلومات عامة,متوسط,"من الملك المغربيّ الذي أطلق «المسيرة الخضراء»؟","الحسن الثاني",
معلومات عامة,متوسط,"ماذا كانت مهنة الرئيس الأمريكيّ رونالد ريغان قبل السياسة؟","ممثّل سينمائيّ",
معلومات عامة,متوسط,"أيّ بلدٍ حكمه مهاتير محمد ونهض باقتصاده؟","ماليزيا",
معلومات عامة,متوسط,"ما اسم الدولة التي قامت بوحدة مصر وسوريا؟","الجمهوريّة العربيّة المتحدة",
معلومات عامة,متوسط,"ما لقب حاكم المغول؟","الخان",
معلومات عامة,متوسط,"في أيّ مدينةٍ دُفن صلاح الدين الأيوبيّ؟","دمشق",
معلومات عامة,متوسط,"ماذا كان عمل فلاديمير بوتين قبل دخوله السياسة؟","ضابط استخبارات",
معلومات عامة,متوسط,"في أيّ مدينةٍ أمريكيّة اغتيل الرئيس كينيدي؟","دالاس",
معلومات عامة,صعب,"ما لقب مانديلا الذي كان يناديه به شعبه؟","ماديبا",
معلومات عامة,صعب,"من أوّل ملكٍ للعراق الحديث؟","فيصل الأوّل",
معلومات عامة,صعب,"ما اسم زوجة هارون الرشيد التي حفرت عيناً لسقيا الحجّاج؟","زبيدة",
معلومات عامة,صعب,"ما الحادثة التي تخلّص فيها محمد علي باشا من المماليك؟","مذبحة القلعة",
معلومات عامة,صعب,"ما لقب جورج واشنطن عند الأمريكيّين؟","أبو الأمّة",
معلومات عامة,صعب,"ما لقب ملوك اليمن القدماء عند العرب؟","تُبّع",
معلومات عامة,صعب,"ما القمّة العربيّة التي أعلنت «اللاءات الثلاث» بعد النكسة؟","قمّة الخرطوم",
معلومات عامة,صعب,"ما الحزب الذي حكم سوريا والعراق عقوداً؟","حزب البعث",
معلومات عامة,صعب,"من أيّ ميناءٍ يمنيّ أخذت قهوة «الموكا» اسمها؟","المخا",
معلومات عامة,صعب,"ما اللغة الأوسع انتشاراً في شرق أفريقيا؟","السواحيلية",
معلومات عامة,صعب,"أيّ بلدٍ حكمه جوزيف بروز تيتو؟","يوغوسلافيا",
معلومات عامة,تعجيزي,"ما اللقب الذي عُرف به الحبيب بورقيبة؟","المجاهد الأكبر",
معلومات عامة,تعجيزي,"ما الأسرة التي حكمت مصر من محمد علي باشا حتى 1952؟","الأسرة العلويّة",
معلومات عامة,تعجيزي,"ماذا كان يزرع الرئيس الأمريكيّ جيمي كارتر قبل السياسة؟","الفول السوداني",
معلومات عامة,تعجيزي,"ماذا كانت مهنة الرئيس البرازيليّ لولا دا سيلفا في شبابه؟","عامل معادن",
معلومات عامة,تعجيزي,"كم مرّةً انتُخب فرانكلين روزفلت رئيساً لأمريكا؟","أربع مرّات",
معلومات عامة,تعجيزي,"ما الحيوان الذي أهداه هارون الرشيد إلى شارلمان ملك الفرنجة؟","فيل",
معلومات عامة,تعجيزي,"إلى أيّ بلدٍ نُفي الملك فاروق بعد ثورة 1952؟","إيطاليا",
معلومات عامة,تعجيزي,"ما الجزيرة التي نُفي إليها نابليون أوّل مرّة قبل عودته؟","إلبا",
معلومات عامة,تعجيزي,"في أيّ بلدٍ وُلد جوزيف ستالين؟","جورجيا",
معلومات عامة,تعجيزي,"ما لقب محمد علي جناح عند الباكستانيّين؟","القائد الأعظم",
معلومات عامة,تعجيزي,"ما لقب نابليون بين جنوده؟","العريف الصغير",
معلومات عامة,تعجيزي,"بأيّ لقبٍ عُرفت الملكة فيكتوريا لأنّ أحفادها ملأوا عروش القارّة العجوز؟","جدّة أوروبا",
معلومات عامة,تعجيزي,"كم زوجةً تزوّج الملك الإنجليزيّ هنري الثامن؟","ستّ",
معلومات عامة,تعجيزي,"ما لقب رئيس الوزراء في الدولة العثمانيّة؟","الصدر الأعظم",
معلومات عامة,تعجيزي,"ما لقب حاكم جمهوريّة البندقية قديماً؟","الدوج",
معلومات عامة,تعجيزي,"ماذا كان عمل إيمانويل ماكرون قبل الرئاسة؟","مصرفيّ",
معلومات عامة,تعجيزي,"أين يوجد أكبر عددٍ من الأهرامات في العالم؟","السودان",
معلومات عامة,تعجيزي,"كم شهراً في التقويم الإثيوبيّ؟","ثلاثة عشر",
معلومات عامة,تعجيزي,"من أيّ مدينةٍ عراقيّة أخذ قماش «الموسلين» اسمه؟","الموصل",
معلومات عامة,تعجيزي,"من أيّ لغةٍ جاءت كلمة «روبوت»؟","التشيكية",
معلومات عامة,تعجيزي,"ما المدينة التي كانت عاصمة اليابان أكثر من ألف سنة قبل طوكيو؟","كيوتو",
معلومات عامة,تعجيزي,"ما المدينة التي كانت عاصمة مصر في عهد الفراعنة الأوائل؟","منف",
معلومات عامة,تعجيزي,"ما معنى اسم «بوينس آيرس» بالإسبانيّة؟","الهواء الطيّب",
معلومات عامة,تعجيزي,"أيّ بلدٍ ينتج أكثر كاكاو العالم؟","ساحل العاج",
معلومات عامة,تعجيزي,"أيّ بلدٍ يمتدّ على أكبر عددٍ من المناطق الزمنيّة في العالم؟","فرنسا",
معلومات عامة,متوسط,"من ملك الأردن الراحل الذي حكم قرابة نصف قرن؟","الملك حسين بن طلال",
معلومات عامة,صعب,"ما البلدة التي كانت عاصمة الدولة السعوديّة الأولى؟","الدرعية",
معلومات عامة,تعجيزي,"ما معنى اسم العاصمة «طوكيو»؟","العاصمة الشرقيّة",
معلومات عامة,تعجيزي,"من أيّ لغةٍ جاءت كلمة «تسونامي»؟","اليابانية",
