التصنيف,المستوى,السؤال,الإجابة
إيموجي,سهل,🍕 🍝 🚤 — ما الدولة؟,إيطاليا
إيموجي,سهل,🗼 🥐 🧀 — ما الدولة؟,فرنسا
إيموجي,سهل,🐫 🔺 🌊 — ما الدولة؟,مصر
إيموجي,سهل,🦸 🔵 🔴 💪 — ما البطل الخارق؟,سوبرمان
إيموجي,سهل,🐰 🥕 😏 — ما الشخصية الكرتونية؟,باغز باني
إيموجي,متوسط,🐆 💗 🎷 — ما الكرتون؟,النمر الوردي (الفهد الوردي)
إيموجي,متوسط,⌚ 👽 👦 — ما الكرتون؟,بن تن
إيموجي,متوسط,🎒 🗺️ 🐒 👧 — ما الكرتون؟,دورا
إيموجي,متوسط,👁️ 👁️ 🦷 🦷 — ما المثل؟,العين بالعين والسن بالسن
إيموجي,متوسط,⚽ 🎉 🌳 — ما الدولة؟,البرازيل
إيموجي,صعب,😭 🏠 💎 🎭 — ما المسرحية الكويتية؟,ضحية بيت العز
إيموجي,صعب,🐺 👦 🐻 🌴 🎬 — ما الفيلم؟,كتاب الأدغال
إيموجي,صعب,🥋 👦 🧓 🎬 — ما الفيلم؟,كاراتيه كيد
إيموجي,صعب,👥 ➡️ 🛣️ — ما المثل؟,الرفيج قبل الطريج
إيموجي,صعب,🍬 ❌ 💯 — ما المثل؟,الحلو ما يكمل
إيموجي,تعجيزي,🗣️ 👑 🔺 🎭 — ما المسرحية الكويتية؟,على هامان يا فرعون
إيموجي,تعجيزي,🦎 🏙️ 🔥 🎬 — ما الفيلم؟,غودزيلا
إيموجي,تعجيزي,🎭 💚 😜 🎬 — ما الفيلم؟,القناع (ذا ماسك)
إيموجي,تعجيزي,🪨 👨‍👩‍👧 🦕 🚗 — ما الكرتون؟,عائلة فلينستون
إيموجي,تعجيزي,🐪 🐪 🐪 🚶 🐕 🗣️ — ما المثل؟,القافلة تسير والكلاب تنبح
