التصنيف,المستوى,السؤال,الإجابة,العائلة
رقية وسبيكة,سهل,من أدّت دور سبيكة؟,حياة الفهد,
رقية وسبيكة,سهل,ما نوع الشركة التي أسّستها الأختان بعد التثمين؟,استيراد وتصدير,
رقية وسبيكة,سهل,من أيّ وزارة كانت الأختان تتلقّيان الإعانة؟,الشؤون الاجتماعية,
رقية وسبيكة,سهل,بماذا احتفلت الأختان عند محلّ الكباب؟,بمليون التثمين,
رقية وسبيكة,سهل,إلى أيّ مدينة سافرت الأختان تتسوّقان في الحلقة الأخيرة؟,باريس,
رقية وسبيكة,سهل,ما مهنة ذياب حين التقى الأختين؟,سائق وانيت,
رقية وسبيكة,سهل,بكم ثُمّن بيت الأختين أخيراً؟,مليون دينار,
رقية وسبيكة,سهل,أيّ الأختين تزوّجت ذياب؟,سبيكة,
رقية وسبيكة,متوسط,من كتب المسلسل؟,مبارك الحشاش,
رقية وسبيكة,متوسط,من مخرج المسلسل؟,فيصل الضاحي,
رقية وسبيكة,متوسط,كم حلقةً في المسلسل؟,7,
رقية وسبيكة,متوسط,في أيّ عام عُرض المسلسل؟,1986,
رقية وسبيكة,متوسط,ماذا ادّعت سبيكة لتتخلّص من رقية؟,أنّها حامل,
رقية وسبيكة,متوسط,ما المهر الذي طلبته رقية من ذياب؟,3000 دينار,
رقية وسبيكة,متوسط,ما اسم المرأة التي ربّت الأختين وتركت لهما البيت؟,أمّ سهيل,
رقية وسبيكة,متوسط,ماذا ادّعت سبيكة أمام الشرطي لتتهرّب من دفع أجرة ذياب؟,أنّها زوجته,
رقية وسبيكة,متوسط,أيّ الأختين الصغرى والأقوى شخصيةً؟,رقية,
رقية وسبيكة,متوسط,لماذا تزوّج ذياب في البداية؟,للهرب من سكن العزّاب وعجزه عن الإيجار,
رقية وسبيكة,متوسط,كيف نقلت الأختان المليون من البنك إلى البيت؟,نقداً في خيشة عيش,
رقية وسبيكة,صعب,ما اسم السكرتير الذي لقّبته سبيكة بـ«حفّار القبور»؟,جميل جمال,
رقية وسبيكة,صعب,من أدّى دور جميل جمال؟,علي المفيدي,
رقية وسبيكة,صعب,ما اسم التاجر النصّاب الذي استغلّ الأختين؟,بو عثمان,
رقية وسبيكة,صعب,من أدّى دور بو عثمان؟,كاظم القلاف,
رقية وسبيكة,صعب,ما اسم عائلة الأختين؟,أبو العيش,
رقية وسبيكة,صعب,ما المنصب الذي عيّنت رقية نفسها فيه في الشركة؟,المدير العام (والمدير المالي),
رقية وسبيكة,صعب,ما المنصب الذي أُسند إلى ذياب في الشركة؟,مسؤول العلاقات العامة,
رقية وسبيكة,صعب,ما المبلغ الذي عرضه صديق ذياب لشراء البيت فرفضته رقية؟,550 ألف دينار,
رقية وسبيكة,صعب,لماذا قطعت الباحثة الإعانة عن سبيكة؟,اكتشفت زواجها,
رقية وسبيكة,صعب,ما نوع المصنع الفرنسي الذي عقدت معه رقية صفقة المليون ونصف؟,مصنع أسلحة,
رقية وسبيكة,تعجيزي,من أدّت دور الباحثة الاجتماعية؟,أسمهان توفيق,
رقية وسبيكة,تعجيزي,ما الاسم الكامل لذياب؟,ذياب دايخ ذيب بنيدر,
رقية وسبيكة,تعجيزي,ما البضاعة التي عرضها بو عثمان على الأختين على أنّها مستوردة وهي موجودة في الكويت؟,الدراريع والملافع,
رقية وسبيكة,تعجيزي,بكم قدّرت سبيكة سعر بسطتهما القديمة؟,5000 دينار,
رقية وسبيكة,تعجيزي,من أدّى دور عبدالله الذي استغلّه بو عثمان؟,عبدالإمام عبدالله,
رقية وسبيكة,تعجيزي,بماذا برّرت الأختان للباحثة كثرة الأكل في اليوم التالي للعرس؟,أنّه للجنّ الذي يسكن سبيكة,
رقية وسبيكة,تعجيزي,ما الاختراع الذي عرضه بو عثمان ويتغيّر لونه بحسب مزاج لابسته؟,الملفع الاسقربوطي,
رقية وسبيكة,تعجيزي,كم شيكاً كان على الشركة سداده في النهاية؟,65,
رقية وسبيكة,تعجيزي,ما سبب قرار إخلاء البيت الجديد في الحلقة الأخيرة؟,مشروع الجسر,
رقية وسبيكة,تعجيزي,من غنّى شارة البداية؟,فرقة التلفزيون,
رقية وسبيكة,تعجيزي,ما اسم صديق ذياب صاحب الكراج؟,ظافر,
رقية وسبيكة,تعجيزي,كم بلغ تثمين البيت الجديد كما سمع بو عثمان؟,مليونا دينار,
