التصنيف,المستوى,السؤال,الإجابة
حروف,سهل,ما اسم عاصمة كوريا الجنوبية؟,سيول
حروف,سهل,ما اسم عاصمة اليونان؟,أثينا
حروف,سهل,في أيّ بلد تأسّست شركة ألعاب المكعّبات «ليغو»؟,الدنمارك
حروف,سهل,من أيّ بلد شركة «لينوفو» للحواسيب؟,الصين
حروف,سهل,ما البلد الأصلي لسلسلة متاجر «كارفور»؟,فرنسا
حروف,سهل,ما الشركة الأمريكية التي تصنع طائرة الركّاب 747؟,بوينغ
حروف,سهل,ما الحيوان الذي يظهر في شعار سيارات لامبورغيني؟,الثور
حروف,سهل,أيّ حيوان يظهر في شعار سيارات فيراري؟,الحصان
حروف,سهل,ما شركة السيارات صاحبة شعار الحلقات الأربع؟,أودي
حروف,سهل,ما سلسلة المقاهي صاحبة شعار الحورية الخضراء؟,ستاربكس
حروف,سهل,ما الرياضة التي اشتهر بها تايغر وودز؟,الغولف
حروف,سهل,أيّ مدينة أمريكية تُلقّب بمدينة الملائكة؟,لوس أنجلوس
حروف,سهل,ما الحيوان الوطني لكندا؟,القندس
حروف,سهل,ما الطائر الوطني لنيوزيلندا؟,الكيوي
حروف,سهل,ما المدينة الأمريكية الملقّبة بمدينة الرياح؟,شيكاغو
حروف,سهل,ما المدينة الإيطالية الملقّبة بعاصمة الموضة؟,ميلانو
حروف,سهل,ما اسم المذنّب الشهير الذي يزور الأرض نحو كلّ 76 عاماً؟,هالي
حروف,سهل,ما الدولة العربية الملقّبة بالخضراء؟,تونس
حروف,سهل,ما الدولة الملقّبة ببلد المليون شهيد؟,الجزائر
حروف,سهل,ما البلد الأصلي لأكلة التاكو؟,المكسيك
حروف,متوسط,ما اسم أكبر مدينة في كندا؟,تورونتو
حروف,متوسط,ما اسم الميدان الشهير في وسط بكين؟,تيانانمين
حروف,متوسط,أيّ مدينة هي الأكبر في البرازيل؟,ساو باولو
حروف,متوسط,من مؤلّف «رحلات غليفر»؟,سويفت
حروف,متوسط,ما المدينة السويسرية الأكبر سكاناً؟,زيورخ
حروف,متوسط,ما العملة الرسمية في كوريا الجنوبية؟,الوون
حروف,متوسط,ما اسم الشارع الذي تقع فيه بورصة نيويورك؟,وول ستريت
حروف,متوسط,ما اسم عملة تايلاند؟,البات
حروف,متوسط,ما الاسم القديم لمدينة مومباي؟,بومباي
حروف,متوسط,بأيّ عملة يُتعامل في ماليزيا؟,الرينغيت
حروف,متوسط,ما العملة المتداولة في نيجيريا؟,النايرا
حروف,متوسط,ما اسم الصحراء الواسعة الواقعة بين الصين ومنغوليا؟,غوبي
حروف,متوسط,ما الدولة التي تملك أطول خطّ ساحلي في العالم؟,كندا
حروف,متوسط,من مؤلّف «أليس في بلاد العجائب»؟,كارول
حروف,متوسط,ما أكبر دولة منتجة للتمور في العالم؟,مصر
حروف,متوسط,ما اسم البحر الداخلي التركي الواقع بين مضيقي البوسفور والدردنيل؟,مرمرة
حروف,متوسط,أيّ دولة تتصدّر العالم في إنتاج زيت الزيتون؟,إسبانيا
حروف,متوسط,ما اللغة الرسمية في النمسا؟,الألمانية
حروف,متوسط,من أيّ بلد شركة «فيليبس» للإلكترونيات؟,هولندا
حروف,متوسط,من مؤلّفة رواية «فرانكشتاين»؟,شيلي
حروف,صعب,ما اسم العاصمة السابقة للبرازيل قبل برازيليا؟,ريو دي جانيرو
حروف,صعب,ما العاصمة النيجيرية السابقة قبل أبوجا؟,لاغوس
حروف,صعب,ما اسم أوّل عاصمة لباكستان بعد قيامها؟,كراتشي
حروف,صعب,أيّ مدينة كانت عاصمة أستراليا قبل كانبرا؟,ملبورن
حروف,صعب,ما اسم النهر الذي يعبر مدينة دمشق؟,بردى
حروف,صعب,أيّ نهر يعبر مدينة نيويورك؟,هدسون
حروف,صعب,ما اسم أعلى جبل في تركيا؟,أرارات
حروف,صعب,ما اللغة التي كان يتحدّثها عيسى عليه السلام؟,الآرامية
حروف,صعب,ما اسم أعلى قمّة في سلطنة عُمان؟,جبل شمس
حروف,صعب,ما اسم أكبر جزيرة في البحر الكاريبي؟,كوبا
حروف,صعب,أيّ جزيرة هي الأكبر بين جزر السعودية؟,فرسان
حروف,صعب,ما اسم حلبة الفورمولا 1 في البحرين؟,الصخير
حروف,صعب,ما اسم الملعب الذي يتقاسمه ناديا ميلان وإنتر؟,سان سيرو
حروف,صعب,من مؤسّس سلسلة مطاعم «كنتاكي»؟,ساندرز
حروف,صعب,من أوّل رئيس للجمهورية التونسية؟,بورقيبة
حروف,صعب,من أوّل رئيس وزراء للهند بعد الاستقلال؟,نهرو
