id,category,level,action,note,question,answer
"H159","أحياء وفلك","صعب","حجب","مقلوب M028 (46 كروموسوماً / 23 زوجاً)","كم عدد أزواج الكروموسومات في خلية الإنسان؟","ثلاثة وعشرون زوجًا"
"ADM1521","أحياء وفلك","تعجيزي","حجب","واقعة مشكوك فيها: «الضفدع الثور لا ينام»","أيّ حيوانٍ لا ينام مطلقاً طوال حياته؟","الضفدع الثور"
"ADM1538","أحياء وفلك","تعجيزي","حجب","واقعة مشكوك فيها: «العقرب يرى بأربع عيون»","الحيوان الذي يرى بأربع عيونٍ فعليّة — أيّهما؟","العقرب"
"H058","أدب وفنون","صعب","حجب","مقلوب E275 (أرسطو تلميذ أفلاطون)","من أستاذ أرسطو؟","أفلاطون"
"H064","أدب وفنون","صعب","حجب","مكرّر مع M451 (تولستوي)","من مؤلف رواية الحرب والسلام؟","تولستوي"
"H203","أدب وفنون","صعب","حجب","مكرّر مع E279 (بيكاسو/غيرنيكا)","من رسم لوحة غرنيكا؟","بابلو بيكاسو"
"H204","أدب وفنون","صعب","حجب","مقلوب H457 (مونيه/الانطباعيّة)","ما المدرسة الفنية التي أسسها كلود مونيه ورفاقه؟","الانطباعية"
"M204","أدب وفنون","متوسط","حجب","مكرّر مع M744 (المعرّي الأعمى في المعرّة)","من الشاعر الأعمى صاحب رسالة الغفران؟","أبو العلاء المعري"
"ADM0834","أغاني وطرب","صعب","حجب","الجواب في نصّ ADM0782 (عبد العزيز المفرج)","ما الاسم الحقيقي للفنان الكويتي شادي الخليج؟","عبد العزيز المفرج"
"ADM0205","أكلات","صعب","حجب","الجواب مركّب من ADM0105 وADM0106 (المموش)","ما اسم الطبق الكويتي الذي يجمع الأرز والماش والروبيان المجفف؟","المموش"
"ADM0208","أكلات","صعب","حجب","تافه: الجريش قمح مجروش","ما صورة القمح التي يقوم عليها طبق الجريش؟","قمح مجروش"
"ADM0264","أكلات","صعب","حجب","تافه: البسمتي","ما اسم الأرز طويل الحبة العطري الشائع في أطباق الخليج؟","البسمتي"
"ADM0266","أكلات","صعب","حجب","تافه: كزبرة ناشفة","ما اسم بذور الكزبرة بعد طحنها في استعمالات المطبخ؟","كزبرة ناشفة"
"ADM0252","أكلات","صعب","حجب","مقلوب ADM0151 (البريك بالبيض)","ما المكوّن الذي يوجد غالباً داخل البريك التونسي التقليدي ويبقى صفاره سائلاً؟","البيض"
"ADM0262","أكلات","صعب","حجب","جوابٌ وصفيّ لا اسم","ما التقنية التي تمنح الكبة قشرتها المتماسكة قبل القلي؟","عجن البرغل مع اللحم الناعم"
"ADM0245","أكلات","صعب","حجب","جوابٌ وصفيّ لا اسم","ما التقنية التي تمنح البغرير ثقوبه الكثيرة؟","تخمير العجين السائل وطهوه من جهة واحدة"
"ADM0224","أكلات","صعب","حجب","جوابٌ وصفيّ لا اسم","ما الذي يميز كبة الموصل عن كثير من أنواع الكبة الأخرى شكلاً؟","كبيرة ومسطحة ودائرية"
"ADM0261","أكلات","صعب","حجب","مقلوب ADM0158 (المنقوشة/خلطة الزعتر)","ما اسم الرغيف الشامي المدهون بخلطة الزعتر وزيت الزيتون؟","المنقوشة"
"ADM2589","ألعاب فيديو","تعجيزي","حجب","الجواب في نصّ ADM2554 (روكستار)","ما اسم مطوّر «ريد ديد» و«جي تي إيه» ومقرّه نيويورك؟","روكستار غيمز"
"ADM2594","ألعاب فيديو","تعجيزي","حجب","الجواب في نصّ ADM2540 (رايوت)","ما اسم شركة «فالورانت» و«ليغ أوف ليجندز» التي تملكها «تينسنت»؟","رايوت غيمز"
"ADM2597","ألعاب فيديو","تعجيزي","حجب","الجواب في نصّ ADM2552 (سي دي بروجكت)","ما اسم استوديو «بولندا» الذي طوّر «ذا ويتشر» و«سايبربانك 2077»؟","سي دي بروجكت ريد"
"ADM2588","ألعاب فيديو","تعجيزي","حجب","مقلوب ADM2563 (أنريل/إيبك)","ما اسم محرّك الألعاب الذي طوّرته «إيبك» ويُستعمل حتّى في مسلسلاتٍ مثل «ذا ماندالوريان»؟","أنريل إنجن"
"ADM3170","ألعاب فيديو","تعجيزي","حجب","الجواب في نصّ ADM2583 (موجانغ)","ما اسم الاستوديو السويديّ الذي طوّر ماينكرافت؟","موجانغ"
"ADM2643","أنمي","صعب","حجب","مقلوب ADM3032 (ريوك والتفّاح)","إله الموت الذي أسقط الدفتر ويعشق التفّاح — ما اسمه؟","ريوك"
"ADM2657","أنمي","صعب","حجب","مكرّر مع ADM2617 (ون بانش مان)","بطله «سايتاما» وتلميذه السايبورغ «جينوس» — ما اسم الأنمي؟","ون بانش مان"
"ADM3081","أنمي","تعجيزي","حجب","الجواب في إجابة ADM3025 (واكابياشي)","ما الاسم الياباني لشخصيّة «وليد» حارس المرمى في كابتن ماجد؟","واكابياشي غينزو"
