التصنيف,المستوى,السؤال,الإجابة,العائلة
خالتي قماشة,سهل,ماذا وضعت قماشة في غرف أبنائها لتراقبهم؟,كاميرات تجسّس,
خالتي قماشة,سهل,من أدّت دور «محبوبة» زوجة سلطان؟,سعاد عبدالله,
خالتي قماشة,سهل,من أدّى دور «سلطان» آخر العنقود؟,غانم الصالح,
خالتي قماشة,سهل,ما اسم ابن قماشة البخيل الذي يعمل دلّالاً في العقارات؟,حنضل,
خالتي قماشة,سهل,من أدّى دور حنضل؟,علي المفيدي,
خالتي قماشة,سهل,كم ابناً لقماشة؟,ثلاثة,
خالتي قماشة,سهل,ما اسم زوجة سلطان المتعلّمة صاحبة الاختراعات؟,محبوبة,
خالتي قماشة,متوسط,من اكتشفت سرّ الكاميرات؟,محبوبة,
خالتي قماشة,متوسط,ما اسم ابنة قماشة الوحيدة؟,لطيفة,
خالتي قماشة,متوسط,من أدّى دور الحجي مرزوق والد محبوبة؟,خالد النفيسي,
خالتي قماشة,متوسط,أيّ أبناء قماشة هو المطرب المدلّل؟,عادل,
خالتي قماشة,متوسط,من كتب المسلسل؟,طارق عثمان,
خالتي قماشة,متوسط,ما مهنة سلطان؟,خبير طبّ عربي,
خالتي قماشة,متوسط,على ماذا أرغمت حنان زوجها عادل؟,السكن في بيتٍ آخر بعيداً عن أمّه,
خالتي قماشة,متوسط,ما هواية نسمة زوجة حنضل المفضّلة؟,الأكل,
خالتي قماشة,صعب,من مخرج المسلسل؟,حمدي فريد,حمدي فريد
خالتي قماشة,صعب,كم حلقةً في المسلسل؟,15,
خالتي قماشة,صعب,ما اسم زوجة حنضل؟,نسمة,
خالتي قماشة,صعب,من أدّت دور «حنان» زوجة عادل؟,مريم الصالح,
خالتي قماشة,صعب,من تزوّج الحجي مرزوق بعد وفاة زوجته؟,لطيفة ابنة قماشة,
خالتي قماشة,صعب,من أدّت دور لطيفة؟,استقلال أحمد,
خالتي قماشة,صعب,من أدّت دور نسمة؟,مريم الغضبان,
خالتي قماشة,صعب,كم بنتاً لحنضل ونسمة؟,أربع,
خالتي قماشة,تعجيزي,من كتب كلمات شارة المسلسل؟,عبداللطيف البناي,
خالتي قماشة,تعجيزي,من لحّن شارة المسلسل؟,يوسف ناصر,
خالتي قماشة,تعجيزي,ما اسم اليتيم الذي ربّاه الحجي مرزوق ويعمل في بيته؟,مفتاح,
خالتي قماشة,تعجيزي,ما اسم أخت محبوبة الصغرى صاحبة الموهبة الغنائية؟,ليلى,
خالتي قماشة,تعجيزي,من أدّى دور عادل؟,خليل إسماعيل,
خالتي قماشة,تعجيزي,من أدّى دور مفتاح؟,عبدالرحمن العقل,
خالتي قماشة,تعجيزي,من أدّت دور ليلى؟,رجاء محمد,
خالتي قماشة,تعجيزي,أيّ مطربٍ كان مقترحاً لدور عادل قبل أن يستقرّ الدور على خليل إسماعيل؟,نبيل شعيل,
خالتي قماشة,تعجيزي,من الفنانة التي كانت مقترحة لدور لطيفة؟,انتصار الشراح,
خالتي قماشة,تعجيزي,لماذا رفضت حياة الفهد النصّ أوّل مرّة؟,رأت فكرته أقرب إلى الخيال,
خالتي قماشة,تعجيزي,في أيّ شهرٍ من عام 1983 عُرض المسلسل أوّل مرّة؟,يونيو,
