التصنيف,المستوى,السؤال,الإجابة,الصورة
شعارات,تعجيزي,ما اسم هذا الرمز الذي تراه على سيّارات الإسعاف؟,نجمة الحياة,pic-logo-staroflife
شعارات,تعجيزي,ما اسم هذا الرمز الطبّيّ: أفعى تلتفّ على عصا؟,عصا أسكليبيوس,pic-logo-asclepius
شعارات,تعجيزي,شعار أيّ منظّمةٍ دوليّة هذا؟,منظّمة التجارة العالميّة,pic-logo-wto
شعارات,تعجيزي,شعار أيّ هيئةٍ أمميّة هذا؟,اليونيسف,pic-logo-unicef
شعارات,تعجيزي,شعار أيّ منظّمةٍ مقرّها جدّة هذا؟,منظّمة التعاون الإسلاميّ,pic-logo-oic
شعارات,تعجيزي,شعار أيّ حركةٍ عالميّة هذا؟,الكشّافة,pic-logo-wosm
شعارات,تعجيزي,شعار أيّ دورةٍ رياضيّة هذا؟,الألعاب الآسيويّة,pic-logo-asiangames
شعارات,تعجيزي,شعار أيّ شركة طيران هذا؟,لوفتهانزا,pic-logo-lufthansa
شعارات,تعجيزي,شعار أيّ شركة طيران هذا؟,الخطوط الجوّيّة الكوريّة,pic-logo-koreanair
شعارات,تعجيزي,شعار أيّ شركة طيران هذا؟,إيروفلوت,pic-logo-aeroflot
شعارات,تعجيزي,شعار أيّ شركة سيّاراتٍ كهربائيّة هذا؟,بولستار,pic-logo-polestar
شعارات,تعجيزي,شعار أيّ تطبيق مراسلةٍ هذا؟,وي شات,pic-logo-wechat
