id,category,level,action,new_level_or_kept_id,question,answer
"E092","أحياء وفلك","سهل","استبعاد: تافه","","ما اسم صغير البقرة؟","العجل"
"E093","أحياء وفلك","سهل","استبعاد: تافه","","ما اسم أنثى الجمل؟","الناقة"
"E094","أحياء وفلك","سهل","استبعاد: تافه","","ما اسم صغير الأسد؟","الشبل"
"E141","أحياء وفلك","سهل","استبعاد: تافه","","ما اسم المجموعة التي تنتمي إليها الأرض والشمس؟","المجموعة الشمسية"
"E143","أحياء وفلك","سهل","استبعاد: تافه","","ما اسم الجرم الذي يدور حول الكوكب؟","القمر"
"E144","أحياء وفلك","سهل","استبعاد: تافه","","كم ساعة تستغرق الأرض في دورة كاملة حول نفسها؟","24 ساعة"
"E200","أحياء وفلك","سهل","استبعاد: تافه","","ما اسم أنثى الأسد؟","اللبؤة"
"E201","أحياء وفلك","سهل","استبعاد: تافه","","ما اسم صغير الخروف؟","الحَمَل"
"E361","أحياء وفلك","سهل","استبعاد: تافه","","ما الحيوان الملقّب بسفينة الصحراء؟","الجمل"
"E362","أحياء وفلك","سهل","استبعاد: تافه","","ما أطول حيوان رقبةً؟","الزرافة"
"E363","أحياء وفلك","سهل","استبعاد: تافه","","ما الحشرة التي تنتج العسل؟","النحلة"
"E442","أحياء وفلك","سهل","استبعاد: تافه","","ما اسم الطائر الذي يقلّد صوت الإنسان؟","الببغاء"
"E447","أحياء وفلك","سهل","استبعاد: تافه","","من أي نبات يُصنع الخبز؟","القمح"
"E209","أحياء وفلك","سهل","استبعاد: تافه","","من أين يستمد القمر ضوءه؟","من انعكاس ضوء الشمس"
"E445","أحياء وفلك","سهل","استبعاد: تافه","","ما اسم الجزء من النبات الذي تخرج منه البذور؟","الثمرة"
"M195","أحياء وفلك","سهل","استبعاد: تافه","","ما اسم وكالة الفضاء الأمريكية؟","ناسا"
"E091","أحياء وفلك","سهل","استبعاد: تافه","","ما الطائر الذي يُستخدم في الصيد ويشتهر به أهل الخليج؟","الصقر"
"M616","أحياء وفلك","متوسط","استبعاد: تافه","","ما اسم الطبقة التي تحيط بالأرض وتحوي الهواء؟","الغلاف الجوي"
"ADM1530","أحياء وفلك","تعجيزي","استبعاد: تافه","","بأيّ اسمٍ تُعرف البقعة الحمراء العملاقة على المشتري؟","عاصفة"
"ADM1523","أحياء وفلك","تعجيزي","استبعاد: مكرّر","M240","أيّ طائرٍ يستطيع الطيران إلى الخلف؟","الطنّان"
"ADM1539","أحياء وفلك","تعجيزي","استبعاد: مكرّر","M064","أكبر عينٍ في مملكة الحيوان لأيّ كائن؟","الحبّار العملاق"
"ADM1529","أحياء وفلك","تعجيزي","استبعاد: مكرّر","H168","على أيّ كوكبٍ يقع أوليمبوس مونس؟","المرّيخ"
"ADM1537","أحياء وفلك","تعجيزي","استبعاد: مكرّر","E208","في أيّ سنةٍ فقد بلوتو صفة الكوكب؟","2006"
"ADM1532","أحياء وفلك","تعجيزي","استبعاد: مكرّر","E203","ما اسم أسرع حيوانٍ في العالم على الإطلاق؟","الشاهين"
"ADM1520","أحياء وفلك","تعجيزي","استبعاد: مكرّر","H091","كم قلباً للأخطبوط؟","ثلاثة"
"M449","من أنا؟","متوسط","استبعاد: مكرّر","M193","رائد فضاء سوفيتي أول إنسان يدور حول الأرض في الفضاء، وذلك في رحلة استغرقت أقل من ساعتين سنة ١٩٦١. من هذه الشخصية؟","يوري غاغارين"
"E203","أحياء وفلك","سهل","تغيير مستوى","متوسط","ما أسرع طائر في العالم؟","الصقر الشاهين"
"E446","أحياء وفلك","سهل","تغيير مستوى","متوسط","ما أطول شجرة في العالم؟","السيكويا"
"E205","أحياء وفلك","سهل","تغيير مستوى","متوسط","ما النبات الذي يُستخرج منه معظم سكر العالم ويُزرع في المناطق الباردة؟","بنجر السكر"
"E210","أحياء وفلك","سهل","تغيير مستوى","متوسط","ما الكوكب الذي سُمّي باسم إله الحرب عند الرومان؟","المريخ"
"E211","أحياء وفلك","سهل","تغيير مستوى","متوسط","كم يومًا يستغرق القمر في دورة كاملة حول الأرض؟","نحو 28 يومًا"
"H095","أحياء وفلك","صعب","تغيير مستوى","متوسط","كم عدد معدات البقرة؟","أربع"
"H010","أحياء وفلك","صعب","تغيير مستوى","متوسط","من صاحب نظرية التطور؟","تشارلز داروين"
"M360","أحياء وفلك","متوسط","تغيير مستوى","سهل","ما الوحدة الأساسية لبناء الكائن الحي؟","الخلية"
"M364","أحياء وفلك","متوسط","تغيير مستوى","سهل","ما الغاز الذي تطلقه النباتات في النهار؟","الأكسجين"
"M614","أحياء وفلك","متوسط","تغيير مستوى","سهل","ما أكبر كوكب في المجموعة الشمسية؟","المشتري"
"M615","أحياء وفلك","متوسط","تغيير مستوى","سهل","ما أكبر حيوان على وجه الأرض؟","الحوت الأزرق"
"M617","أحياء وفلك","متوسط","تغيير مستوى","سهل","ما اسم الحيوان الذي يغيّر لونه ليتماشى مع محيطه؟","الحرباء"
"H163","أحياء وفلك","صعب","تغيير مستوى","متوسط","ما الثديي الوحيد القادر على الطيران؟","الخفاش"
"H165","أحياء وفلك","صعب","تغيير مستوى","متوسط","ما الوحدة الفلكية التي تساوي المسافة التي يقطعها الضوء في سنة؟","السنة الضوئية"
"H167","أحياء وفلك","صعب","تغيير مستوى","متوسط","ما النظرية التي تفسّر نشأة الكون بانفجار هائل؟","نظرية الانفجار العظيم"
"E133","أدب وفنون","سهل","استبعاد: تافه","","ما اسم الكتاب الذي يجمع معاني الكلمات وشروحها؟","المعجم"
"E134","أدب وفنون","سهل","استبعاد: تافه","","ما نوع الكلمة التي تدل على حدث وزمن؟","الفعل"
"E166","أدب وفنون","سهل","استبعاد: تافه","","ماذا تُسمّى الكلمة التي تدل على اثنين في العربية؟","المثنى"
"E475","أدب وفنون","سهل","استبعاد: تافه","","ما اللغة الرسمية في فرنسا؟","الفرنسية"
"L007","أدب وفنون","سهل","استبعاد: تافه","","ما اللغة الرسمية في اليابان؟","اليابانية"
"L008","أدب وفنون","سهل","استبعاد: تافه","","ما اللغة الرسمية في تركيا؟","التركية"
"E383","أدب وفنون","سهل","استبعاد: تافه","","ما اسم الآلة النحاسية التي يُنفخ فيها وتُستعمل في الفرق العسكرية؟","البوق"
"E384","أدب وفنون","سهل","استبعاد: تافه","","ما اسم الآلة الموسيقية التي تُضرب باليد وتُصنع من الجلد؟","الطبل"
"E385","أدب وفنون","سهل","استبعاد: تافه","","ما اسم الفن الأدبي الذي يروي حكايةً كاملة في صفحات قليلة؟","القصة القصيرة"
"E473","أدب وفنون","سهل","استبعاد: تافه","","ما اسم الحرف الذي يأتي بعد الباء في الأبجدية العربية؟","التاء"
"E474","أدب وفنون","سهل","استبعاد: تافه","","ما اسم الشكل الأدبي الذي يُكتب ليُمثَّل على خشبة المسرح؟","المسرحية"
"E477","أدب وفنون","سهل","استبعاد: تافه","","ما اسم القصة القصيرة التي تُروى للأطفال قبل النوم؟","الحكاية"
"E479","أدب وفنون","سهل","استبعاد: تافه","","ما اسم اللون الناتج عن مزج الأزرق والأصفر؟","الأخضر"
"L001","أدب وفنون","سهل","استبعاد: تافه","","ما اسم الكتاب الذي جمع فيه المسلمون كلام الله؟","القرآن الكريم"
"L004","أدب وفنون","سهل","استبعاد: تافه","","ما نوع الكلمة التي تدل على ذات؟","الاسم"
"L006","أدب وفنون","سهل","استبعاد: تافه","","ما اسم الجملة التي تبدأ باسم؟","الجملة الاسمية"
"L013","أدب وفنون","سهل","استبعاد: تافه","","ما الآلة الموسيقية التي لها أصابع بيضاء وسوداء؟","البيانو"
"L017","أدب وفنون","سهل","استبعاد: تافه","","ما اسم المكان الذي تُعرض فيه اللوحات والتحف؟","المتحف"
"L018","أدب وفنون","سهل","استبعاد: تافه","","ما اسم الفن الذي يُشكَّل فيه الحجر أو المعدن إلى تمثال؟","النحت"
"L019","أدب وفنون","سهل","استبعاد: تافه","","ما اسم القصيدة الطويلة التي يمدح فيها الشاعر شخصًا؟","المديح"
"M379","أدب وفنون","متوسط","استبعاد: تافه","","ما اسم الجملة التي تبدأ بفعل؟","الجملة الفعلية"
"L025","أدب وفنون","سهل","استبعاد: تافه","","ما نوع الكلمة التي تربط بين جملتين مثل الواو والفاء؟","حرف العطف"
"E132","أدب وفنون","سهل","استبعاد: تافه","","ما اسم العلامة التي تُوضع فوق الحرف للدلالة على تكراره؟","الشدّة"
"L012","أدب وفنون","سهل","استبعاد: تافه","","ما الآلة الموسيقية ذات الأوتار التي تُحتضن أثناء العزف وتشتهر في الموسيقى العربية؟","العود"
"ADM1547","أدب وفنون","تعجيزي","استبعاد: تافه","","كم حرفاً في اللغة العربيّة تُكتب ولا تُنطق أحياناً؟","ستّة"
"E163","أدب وفنون","سهل","استبعاد: مكرّر","M020","من مؤلف مسرحية عطيل؟","وليم شكسبير"
"M369","أدب وفنون","متوسط","استبعاد: مكرّر","M020","من مؤلف مسرحية روميو وجولييت؟","وليم شكسبير"
"M732","أدب وفنون","متوسط","استبعاد: مكرّر","M020","من مؤلف مسرحية «مكبث»؟","وليم شكسبير"
"L043","أدب وفنون","صعب","استبعاد: مكرّر","H064","من الأديب الروسي مؤلف رواية آنا كارنينا؟","ليو تولستوي"
"L042","أدب وفنون","صعب","استبعاد: مكرّر","M081","من مؤلف رواية العجوز والبحر التي نال بها نوبل؟","إرنست همنغواي"
"L048","أدب وفنون","صعب","استبعاد: مكرّر","M371","من الأديب اللبناني مؤلف كتاب الأجنحة المتكسرة؟","جبران خليل جبران"
"L038","أدب وفنون","متوسط","استبعاد: مكرّر","M376","من الملحن المصري الذي لحّن معظم أغاني أم كلثوم المتأخرة؟","محمد عبد الوهاب"
"ADM1548","أدب وفنون","تعجيزي","استبعاد: مكرّر","M207","أيّ أديبٍ عربيّ لُقّب بـ«عميد الأدب العربيّ»؟","طه حسين"
"M479","من أنا؟","متوسط","استبعاد: مكرّر","M207","أديب مصري فقد بصره في طفولته بسبب مرض الرمد، ولُقّب رغم ذلك بـ«عميد الأدب العربي». من هذه الشخصية؟","طه حسين"
"ADM1552","أدب وفنون","تعجيزي","استبعاد: مكرّر","M208","رواية «موسم الهجرة إلى الشمال» لأيّ أديبٍ سودانيّ؟","الطيّب صالح"
"ADM1540","أدب وفنون","تعجيزي","استبعاد: مكرّر","M374","بأيّ اسمٍ عُرفت القصائد السبع المعلّقة على الكعبة؟","المعلّقات"
"ADM1541","أدب وفنون","تعجيزي","استبعاد: مكرّر","M205","أيّ كتابٍ للجاحظ يُعدّ موسوعةً في وصف الدوابّ؟","الحيوان"
"ADM1542","أدب وفنون","تعجيزي","استبعاد: مكرّر","L009","بأيّ لقبٍ عُرف أحمد شوقي؟","أمير الشعراء"
"ADM1545","أدب وفنون","تعجيزي","استبعاد: مكرّر","H070","من رسم لوحة «الليلة المرصّعة بالنجوم»؟","فان غوخ"
"ADM1554","أدب وفنون","تعجيزي","استبعاد: مكرّر","M377","لوحة «الصرخة» من أعمال رسّامٍ نرويجيّ — من هو؟","إدفارد مونك"
