التصنيف,المستوى,السؤال,الإجابة
مسلسلات أجنبية,سهل,في «بريزون بريك»، ما اسم شقيق مايكل سكوفيلد الذي دخل السجن لإنقاذه؟,لينكولن بوروز
مسلسلات أجنبية,سهل,في «بريزون بريك»، ما اسم السجن الذي هرب منه مايكل في الموسم الأوّل؟,فوكس ريفر
مسلسلات أجنبية,سهل,في «بريكنغ باد»، ما الاسم المستعار الذي اتّخذه والتر وايت في عالم المخدّرات؟,هايزنبرغ
مسلسلات أجنبية,سهل,في «بريكنغ باد»، ما اسم تلميذ والتر السابق الذي صار شريكه في صناعة الميث؟,جيسي بينكمان
مسلسلات أجنبية,سهل,في «صراع العروش»، ما العبارة الشهيرة شعار آل ستارك؟,الشتاء قادم
مسلسلات أجنبية,سهل,في «صراع العروش»، ما لقب دينيريس تارغاريان الأشهر؟,أمّ التنانين
مسلسلات أجنبية,سهل,في «ديكستر»، ما وظيفة ديكستر مورغان في شرطة ميامي؟,محلّل بقع الدم (طبّ شرعي)
مسلسلات أجنبية,سهل,في «فريندز»، ما اسم المقهى الذي يجتمع فيه الأصدقاء الستّة؟,سنترال بيرك
مسلسلات أجنبية,سهل,في «فريندز»، من الصديق الذي يعمل عالم حفريّات مهووساً بالديناصورات؟,روس
مسلسلات أجنبية,سهل,في «لا كاسا دي بابيل»، بأسماء ماذا سمّى البروفيسور أفراد عصابته؟,مدن
مسلسلات أجنبية,سهل,في «لا كاسا دي بابيل»، ما المبنى الذي اقتحمته العصابة في الموسم الأوّل؟,دار سكّ العملة الإسبانية
مسلسلات أجنبية,سهل,في «سترينجر ثينغز»، ما اسم الفتاة ذات القدرات الخارقة التي تحمل رقماً بدل اسم؟,إيليفن
مسلسلات أجنبية,سهل,في «شيرلوك» من بي بي سي، من الممثّل الذي أدّى دور شيرلوك هولمز؟,بنديكت كامبرباتش
مسلسلات أجنبية,سهل,في «ذا ووكينغ ديد»، ما مهنة ريك غرايمز قبل نهاية العالم؟,شرطي (نائب مأمور)
مسلسلات أجنبية,سهل,في «لعبة الحبار»، ما اللعبة الأولى التي قُتل فيها أوّل المتسابقين؟,الضوء الأحمر والضوء الأخضر
مسلسلات أجنبية,سهل,في «وادي الذئاب»، ما الاسم الحقيقي لمراد علمدار قبل أن يتنكّر؟,علي جاندان
مسلسلات أجنبية,سهل,في «ذا بيغ بانغ ثيوري»، ما الكلمة التي يصيح بها شيلدون بعد مقالبه؟,بازينغا
مسلسلات أجنبية,سهل,في «قيامة أرطغرل»، ما اسم قبيلة أرطغرل؟,قايي
مسلسلات أجنبية,سهل,في «ناركوس»، أيّ بارون مخدّرات كولومبي تدور حوله المواسم الأولى؟,بابلو إسكوبار
مسلسلات أجنبية,سهل,في «ذا كراون»، سيرة أيّ ملكة يروي المسلسل؟,إليزابيث الثانية
مسلسلات أجنبية,متوسط,في «بريزون بريك»، ما الاسم الكامل للسجين الملقّب «تي باغ»؟,ثيودور باغويل
مسلسلات أجنبية,متوسط,في «بريزون بريك»، ما اسم السجن البنمي الذي دخله مايكل في الموسم الثالث؟,سونا
مسلسلات أجنبية,متوسط,في «بريكنغ باد»، ما اسم سلسلة مطاعم الدجاج التي يتّخذها غوس فرينغ غطاءً؟,لوس بويوس هيرمانوس
مسلسلات أجنبية,متوسط,في «بريكنغ باد»، ما اسم المحامي الذي انبثق عنه مسلسل «بيتر كول سول»؟,سول غودمان
مسلسلات أجنبية,متوسط,في «بريكنغ باد»، في أيّ مدينة أمريكية تدور الأحداث؟,ألباكركي
مسلسلات أجنبية,متوسط,في «صراع العروش»، ما اسم عاصمة الممالك السبع حيث العرش الحديدي؟,كينغز لاندينغ
مسلسلات أجنبية,متوسط,في «صراع العروش»، ما اسم الجيش المتجمّد الذي يقوده ملك الليل؟,السائرون البيض
مسلسلات أجنبية,متوسط,في «ديكستر»، ما اسم شقيقة ديكستر الشرطية؟,ديبرا
مسلسلات أجنبية,متوسط,في «فريندز»، ما اسم توأم فيبي؟,أورسولا
مسلسلات أجنبية,متوسط,في «فريندز»، ما اسم القرد الذي ربّاه روس؟,مارسيل
مسلسلات أجنبية,متوسط,في «لا كاسا دي بابيل»، ما الأغنية الإيطالية التي تغنّيها العصابة؟,بيلا تشاو
مسلسلات أجنبية,متوسط,في «سترينجر ثينغز»، ما اسم العالم الموازي المظلم؟,المقلوب (الأبسايد داون)
مسلسلات أجنبية,متوسط,في «شيرلوك»، ما اسم عدوّ شيرلوك اللدود؟,موريارتي
مسلسلات أجنبية,متوسط,في «ذا ووكينغ ديد»، ما الاسم الذي يطلقه نيغان على مضرب البيسبول الملفوف بالأسلاك؟,لوسيل
مسلسلات أجنبية,متوسط,في «لعبة الحبار»، ما رقم البطل سونغ غي-هون؟,456
مسلسلات أجنبية,متوسط,في «وادي الذئاب»، من رفيق مراد علمدار الأقرب الملقّب «باش»؟,ميماتي باش
مسلسلات أجنبية,متوسط,في «هاوس»، ما اسم صديق الدكتور هاوس الوحيد طبيب الأورام؟,ويلسون
مسلسلات أجنبية,متوسط,في «هاو آي مت يور ماذر»، ما اسم الزير صاحب «الدليل» وبدلاته؟,بارني ستينسون
مسلسلات أجنبية,متوسط,في «بيكي بلايندرز»، في أيّ مدينة إنجليزية تعمل عصابة آل شيلبي؟,برمنغهام
مسلسلات أجنبية,متوسط,في «بيكي بلايندرز»، من الممثّل الأيرلندي الذي أدّى توماس شيلبي؟,كيليان مورفي
مسلسلات أجنبية,صعب,في «بريزون بريك»، ما اسم المنظّمة السرّية التي تطارد الأخوين؟,الشركة (ذا كومباني)
مسلسلات أجنبية,صعب,في «بريزون بريك»، ما اسم طبيبة مستوصف السجن التي أحبّها مايكل؟,سارة تانكريدي
مسلسلات أجنبية,صعب,في «بريكنغ باد»، ما اسم زوج أخت سكايلر الذي يعمل في مكافحة المخدّرات؟,هانك شرايدر
مسلسلات أجنبية,صعب,في «بريكنغ باد»، ما اسم الرجل الذي يعمل «منظّفاً» ومساعداً لغوس وسول؟,مايك إيرمانتراوت
مسلسلات أجنبية,صعب,في «صراع العروش»، ما اسم سيف جون سنو من الفولاذ الفاليري؟,لونغكلو (المخلب الطويل)
مسلسلات أجنبية,صعب,في «صراع العروش»، ما اسم الذئبة الرهيبة التي تملكها آريا؟,نيميريا
مسلسلات أجنبية,صعب,في «ديكستر»، ما اسم زوجة ديكستر التي قتلها «قاتل الثالوث»؟,ريتا
مسلسلات أجنبية,صعب,في «ديكستر»، ما اسم «القانون» الذي علّمه والده بالتبنّي ليختار ضحاياه؟,قانون هاري
مسلسلات أجنبية,صعب,في «فريندز»، ما اسم الأغنية التي تغنّيها فيبي دائماً على الغيتار؟,القطّ النتن (سميلي كات)
مسلسلات أجنبية,صعب,في «لا كاسا دي بابيل»، ما اسم المفتّشة التي فاوضت البروفيسور ثمّ أحبّته؟,راكيل موريو
مسلسلات أجنبية,صعب,في «سترينجر ثينغز»، ما اسم الوحش الذي ظهر في الموسم الأوّل؟,ديموغورغون
مسلسلات أجنبية,صعب,في «شيرلوك»، ما اسم شقيق شيرلوك الذي يعمل في الحكومة البريطانية؟,مايكروفت
مسلسلات أجنبية,صعب,في «لعبة الحبار»، ما اسم الحلوى التي كان على المتسابقين نحت شكلها دون كسرها؟,دالغونا
مسلسلات أجنبية,صعب,في «ذا سوبرانوز»، في أيّ ولاية أمريكية يعيش توني سوبرانو؟,نيوجيرسي
مسلسلات أجنبية,صعب,في «بيكي بلايندرز»، ما الشيء الذي يخبّئه أفراد العصابة في حافّة قبّعاتهم؟,شفرات حلاقة
مسلسلات أجنبية,صعب,في «ذا كراون»، من الممثّلة التي أدّت الملكة في الموسمين الأوّلين؟,كلير فوي
مسلسلات أجنبية,صعب,في «تشيرنوبل»، ما اسم العالم السوفييتي الذي قاد التحقيق في الكارثة؟,فاليري ليغاسوف
مسلسلات أجنبية,صعب,في «مستر روبوت»، ما اسم مجموعة القراصنة التي انضمّ إليها إليوت؟,إف سوسايتي
مسلسلات أجنبية,صعب,في «وادي الذئاب»، من الممثّل التركي الذي أدّى مراد علمدار؟,نجاتي شاشماز
مسلسلات أجنبية,صعب,في «قيامة أرطغرل»، ما اسم زوجة أرطغرل؟,حليمة سلطان
مسلسلات أجنبية,تعجيزي,في «بريزون بريك»، ما اسم السجن اليمني في الموسم الأخير؟,أوغيجيا
مسلسلات أجنبية,تعجيزي,في «بريزون بريك»، ما منصب والد سارة تانكريدي؟,حاكم ولاية إلينوي
مسلسلات أجنبية,تعجيزي,في «بريكنغ باد»، ما اسم الشركة التي أسّسها والتر مع صديقيه ثمّ تركها قبل أن تصير ملياريّة؟,غراي ماتر
مسلسلات أجنبية,تعجيزي,في «بريكنغ باد»، ما اسم ابنة والتر وسكايلر الرضيعة؟,هولي
مسلسلات أجنبية,تعجيزي,في «صراع العروش»، ما اسم التنّين الذي قتله ملك الليل ثمّ أحياه؟,فيسيريون
مسلسلات أجنبية,تعجيزي,في «صراع العروش»، ما اسم «الملك المجنون» والد دينيريس؟,إيريس الثاني
مسلسلات أجنبية,تعجيزي,في «ديكستر»، من كان «قاتل شاحنة الثلج» في الموسم الأوّل؟,براين موزر شقيق ديكستر
