id,category,level,action,note,question,answer
"M307","أحياء وفلك","متوسط","حجب","مكرّر مع ADM6261 (الفهد أسرع بريّ)","ما أسرع مخلوق بري على الأرض؟","الفهد الصياد"
"M303","أحياء وفلك","متوسط","حجب","مكرّر مع ADM6286 (زحل)","ما الكوكب صاحب أوضح نظام حلقات في المجموعة الشمسية؟","زحل"
"ADM6287","أحياء وفلك","سهل","حجب","مكرّر مع M697 (أكبر القطط) — بديلُ اليوم يُسحب","ما أكبر أنواع القطط البرّيّة حجماً؟","النمر"
"ADM6262","إسلامي","سهل","حجب","مكرّر مع M089 (القبلة الأولى) — بديلُ اليوم يُسحب","ما المسجد الذي يُعدّ أولى القبلتين؟","المسجد الأقصى"
"ADM6288","إسلامي","سهل","حجب","مكرّر مع M264 (25 نبيّاً) — بديلُ اليوم يُسحب","كم عدد الأنبياء والرسل المذكورين بأسمائهم في القرآن الكريم؟","25"
"ADM6281","رياضة عامة","سهل","حجب","مكرّر مع M289 (رولان غاروس) — بديلُ اليوم يُسحب","ما اسم بطولة التنس الكبرى التي تُقام في باريس على الملاعب الترابيّة؟","رولان غاروس"
"ADM6294","علوم واختراعات","سهل","حجب","مكرّر مع M073 (فلمنج) — بديلُ اليوم يُسحب","من العالم الذي اكتشف البنسلين سنة 1928؟","ألكسندر فليمنغ"
"ADM6271","تقنية ومنوعات","سهل","حجب","مكرّر مع M713 (الغيغاهرتز) — بديلُ اليوم يُسحب","بأيّ وحدةٍ تُقاس سرعة معالج الحاسوب؟","الهرتز (غيغاهرتز)"
"ADM6272","تقنية ومنوعات","سهل","حجب","مكرّر مع M717 (برنامج الفدية) — بديلُ اليوم يُسحب","ماذا يُسمّى البرنامج الخبيث الذي يشفّر ملفّات الجهاز ويطلب مالاً مقابل فكّها؟","فيروس الفدية"
"ADM6299","تقنية ومنوعات","سهل","حجب","مكرّر مع M711 (غيت هب) — بديلُ اليوم يُسحب","ما اسم أشهر منصّة لاستضافة الشيفرة البرمجيّة ومشاركتها، وتملكها مايكروسوفت؟","غيت هاب"
"M020","أدب وفنون","متوسط","حجب","مكرّر مع E274 (شكسبير/هاملت)","من مؤلف مسرحية هاملت؟","وليم شكسبير"
"ADM0114","أكلات","متوسط","حجب","مقلوب ADM0049 (الشواء العماني في حفرة)","ما الطريقة التقليدية لطهو الشواء العُماني؟","في حفرة أو تنور أرضي"
"ADM0136","أكلات","متوسط","حجب","مقلوب ADM0032 (الطعمية من الفول المدشوش)","من أي بقول تُصنع الطعمية المصرية تقليدياً؟","الفول المدشوش"
"ADM3128","ألعاب فيديو","متوسط","حجب","مكرّر مع ADM2534 (زيلدا)","سلسلة نينتندو التي بطلها لينك تحمل اسم أميرةٍ — ما اسمها؟","زيلدا"
"M022","إسلامي","متوسط","حجب","خطأ واقعة: أوّل غزوة ليست بدراً؛ وبدر في ADM1965 وADM3511","ما أول غزوة في الإسلام؟","غزوة بدر"
"M674","إسلامي","متوسط","حجب","مكرّر مع ADM3200 (حذيفة صاحب السرّ)","من الصحابي الذي كان أمين سرّ النبي صلى الله عليه وسلم؟","حذيفة بن اليمان"
"ADM4104","إسلامي","متوسط","حجب","مكرّر مع ADM2313 (ابن سيرين)","من التابعي الذي يُنسب إليه كتاب «تفسير الأحلام»؟","ابن سيرين"
"ADM6213","الزمن الجميل","متوسط","حجب","مكرّر مع ADM3025 (وليد الحارس)","في «الكابتن ماجد»، ما اسم حارس المرمى صديق ماجد؟","وليد"
