التصنيف,المستوى,السؤال,الإجابة
رياضة عامة,متوسط,ما الرياضة التي تمارس على مضمار خشبي بيضاوي يسمى فيلودروم؟,سباق الدراجات على المضمار
رياضة عامة,متوسط,في التنس، ما اسم الفوز بالبطولات الأربع الكبرى خلال سنة تقويمية واحدة؟,الغراند سلام التقويمي
رياضة عامة,متوسط,ما الرياضة التي تضم حركات الخطف والنتر؟,رفع الأثقال
رياضة عامة,متوسط,ما اسم التخصص الرياضي الذي يجمع الجري مع عبور حواجز ثابتة وحفرة ماء؟,سباق الموانع
رياضة عامة,متوسط,ما الرياضة التي تلعب بمضرب وكرة صغيرة داخل ملعب مغلق ذي أربعة جدران؟,الإسكواش
رياضة عامة,صعب,ما اسم الحالة في الشطرنج التي لا يملك فيها اللاعب نقلة قانونية وملكه غير مهدد؟,الردب، أو بات
رياضة عامة,صعب,في المبارزة، ما السلاح الذي تكون فيه منطقة الهدف الصالحة هي الجذع فقط؟,الشيش، أو الفلوريه
رياضة عامة,صعب,ما اسم سباق ألعاب القوى الذي يجمع عشر مسابقات؟,العشاري
رياضة عامة,صعب,في البلياردو، ما اللعبة التي تستخدم خمس عشرة كرة حمراء وست كرات ملونة وكرة بيضاء؟,السنوكر
رياضة عامة,صعب,ما الرياضة الشتوية التي تجمع التزلج الريفي والرماية بالبندقية؟,البياثلون
رياضة عامة,صعب,ما اسم الأسر الاستثنائي في الشطرنج الذي يلتقط فيه بيدق بيدقا مر بجواره خطوتين؟,الأخذ بالتجاوز، أو الأخذ في المرور
رياضة عامة,صعب,من لاعب التنس الذي فاز بلقب رولان غاروس للرجال أربع عشرة مرة بين 2005 و2022؟,رافاييل نادال
رياضة عامة,صعب,ما المنتخب الذي فاز ببطولة أمم أوروبا لكرة القدم عام 1992 بعد دخوله بديلا ليوغوسلافيا؟,منتخب الدنمارك
رياضة عامة,صعب,في الشطرنج، ما اسم الحركة التي يتحول فيها بيدق إلى قطعة أخرى عند بلوغه الصف الأخير؟,الترقية
أحياء وفلك,متوسط,ما العضية التي تحتوي معظم المادة الوراثية في الخلية البشرية؟,النواة
أحياء وفلك,متوسط,ما اسم العملية التي تفقد فيها النباتات الماء على هيئة بخار عبر أوراقها؟,النتح
أحياء وفلك,متوسط,ما اسم المدار الذي يبدو فيه القمر الصناعي ثابتا فوق نقطة على خط الاستواء؟,المدار الجغرافي الثابت
أحياء وفلك,متوسط,ما مجموعة الفقاريات التي ينتمي إليها القرش؟,الأسماك الغضروفية
أحياء وفلك,متوسط,ما اسم العلاقة التي يستفيد فيها كائن حي ويتضرر الآخر الذي يعيش عليه؟,التطفل
أحياء وفلك,متوسط,ما الجزء من الزهرة الذي يتحول عادة إلى ثمرة بعد الإخصاب؟,المبيض
أحياء وفلك,متوسط,ما الثديي البحري الذي يمتلك نابا طويلا ملتفا ويلقب بوحيد القرن البحري؟,النروال
أحياء وفلك,متوسط,ما اسم انتقال حبوب اللقاح من المتك إلى الميسم؟,التلقيح
أحياء وفلك,متوسط,ما مجموعة الحيوانات التي ينتمي إليها الأخطبوط والحبار؟,رأسيات الأرجل
أحياء وفلك,متوسط,ما اسم الأشجار الساحلية القادرة على النمو في المياه المالحة ويعرف منها القرم؟,المانغروف
أحياء وفلك,متوسط,ما الجزء من الغلاف الجوي الذي يضم معظم طبقة الأوزون؟,الستراتوسفير
أحياء وفلك,صعب,ما اسم العلاقة بين كائنين يستفيد فيها كلاهما؟,تبادل المنفعة، أو التقايض
أحياء وفلك,صعب,ما النسيج النباتي الذي ينقل السكريات من الأوراق إلى بقية النبات؟,اللحاء
أحياء وفلك,صعب,ما اسم العملية التي تعبر فيها المياه غشاء شبه منفذ نحو المحلول الأعلى تركيزا؟,الأسموزية، أو التناضح
أحياء وفلك,صعب,ما اسم الوحدة الأساسية لبناء البروتينات؟,الحمض الأميني
أحياء وفلك,صعب,ما اسم الإنزيم الموجود في اللعاب والذي يبدأ هضم النشا؟,الأميلاز
أحياء وفلك,صعب,ما اسم الأغطية الواقية عند نهايات الكروموسومات؟,التيلوميرات
أحياء وفلك,صعب,ما اسم البنية الليفية التي تربط عظما بعظم آخر عند المفصل؟,الرباط
أحياء وفلك,صعب,ما اسم القاعدة النيتروجينية الموجودة في الحمض النووي الريبي بدلا من الثايمين؟,اليوراسيل
أحياء وفلك,صعب,ما اسم النقطة في مدار كوكب التي يكون فيها أقرب ما يمكن إلى الشمس؟,الحضيض الشمسي
أحياء وفلك,صعب,ما اسم الحدث الفلكي الذي يتساوى فيه طول الليل والنهار تقريبا؟,الاعتدال
أحياء وفلك,صعب,ما المصطلح الذي يصف انعكاس الضوء عن سطح كوكب كنسبة من الضوء الساقط عليه؟,البياض، أو الألبيدو
أحياء وفلك,صعب,ما اسم النقطة في مدار القمر التي يكون فيها أبعد ما يمكن عن الأرض؟,الأوج
علوم واختراعات,متوسط,ما المادة شبه الفلزية الأكثر استخداما في تصنيع رقائق الحاسوب؟,السيليكون
علوم واختراعات,متوسط,ما اسم الجهاز الذي يسجل اهتزاز الأرض الناتج عن الزلازل؟,السيزموجراف، أو راسم الزلازل
علوم واختراعات,متوسط,ما اسم المقياس المستخدم للتعبير عن حموضة المحاليل وقلويتها؟,الأس الهيدروجيني
علوم واختراعات,متوسط,ما اسم المادة التي يفرزها المحار حول جسمٍ غريبٍ داخله فتتكوّن منها الدانة؟,عرق اللؤلؤ
علوم واختراعات,صعب,ما اسم مبدأ منع إلكترونين في الذرة من امتلاك الأعداد الكمية الأربعة نفسها؟,مبدأ استبعاد باولي
علوم واختراعات,صعب,ما اسم الذرات التي تتساوى في عدد البروتونات وتختلف في عدد النيوترونات؟,النظائر
