التصنيف,المستوى,السؤال,الإجابة
بريزون بريك,سهل,ما اسم شقيق مايكل سكوفيلد الذي دخل السجن لإنقاذه من الإعدام؟,لينكولن بوروز
بريزون بريك,سهل,ما اسم السجن الذي هرب منه مايكل ورفاقه في الموسم الأوّل؟,فوكس ريفر
بريزون بريك,سهل,أين خبّأ مايكل مخطّط السجن وخطّة الهروب؟,في وشمٍ على جسده
بريزون بريك,سهل,ما مهنة مايكل سكوفيلد قبل دخوله السجن؟,مهندس إنشائي
بريزون بريك,سهل,من الممثّل الذي أدّى مايكل سكوفيلد؟,وينتورث ميلر
بريزون بريك,سهل,ما اسم طبيبة مستوصف السجن التي أحبّها مايكل؟,سارة تانكريدي
بريزون بريك,سهل,ما الاسم الكامل للسجين الملقّب «تي باغ»؟,ثيودور باغويل
بريزون بريك,سهل,ما اسم زميل مايكل في الزنزانة الذي صار أقرب أصدقائه؟,سوكري
بريزون بريك,سهل,ما اسم قطّة السجين العجوز ويستمورلاند؟,ماريلين
بريزون بريك,سهل,في أيّ بلد انتهى مطاف الهاربين في نهاية الموسم الثاني؟,بنما
بريزون بريك,سهل,ما اسم السجن البنمي الذي دخله مايكل في الموسم الثالث؟,سونا
بريزون بريك,سهل,ما اسم المنظّمة السرّية التي لفّقت القضية للينكولن؟,الشركة (ذا كومباني)
بريزون بريك,سهل,من الممثّل الذي أدّى لينكولن بوروز؟,دومينيك بورسيل
بريزون بريك,سهل,ما اسم ابن لينكولن؟,إل جاي
بريزون بريك,سهل,ما اسم عميل المباحث الفدرالية الذي طارد الهاربين في الموسم الثاني؟,ألكسندر ماهون
بريزون بريك,سهل,ما اسم رئيس حرّاس فوكس ريفر الذي يكره مايكل؟,براد بيليك
بريزون بريك,سهل,ما الجريمة التي ارتكبها مايكل عمداً ليدخل فوكس ريفر؟,السطو على بنك
بريزون بريك,سهل,ما اسم زعيم المافيا في السجن الذي وفّر طائرة الهروب؟,جون أبروزي
بريزون بريك,سهل,ما اسم الجهاز/القاعدة التي سعى الجميع خلفها في الموسم الرابع؟,سيلا
بريزون بريك,سهل,من قطع يد تي باغ بعد الهروب من فوكس ريفر؟,أبروزي
بريزون بريك,متوسط,ما اسم مدير سجن فوكس ريفر الذي عطف على مايكل؟,هنري بوب
بريزون بريك,متوسط,ما اسم عميلة الشركة ذات الشعر الأشقر في الموسمين الثالث والرابع؟,غريتشن
بريزون بريك,متوسط,ما الحالة النفسية التي تفسّر ذكاء مايكل وتعاطفه المفرط؟,انخفاض التثبيط الكامن
بريزون بريك,متوسط,ما اسم نائبة الرئيس التي لُفّقت القضية لأجلها؟,كارولين رينولدز
بريزون بريك,متوسط,ما اسم شقيق نائبة الرئيس الذي اتُّهم لينكولن بقتله؟,تيرنس ستيدمان
بريزون بريك,متوسط,ما اسم المحامية صديقة الطفولة التي دافعت عن لينكولن؟,فيرونيكا دونوفان
بريزون بريك,متوسط,ما اسم خطيبة سوكري التي كان يحلم بالعودة إليها؟,ماريكروز
بريزون بريك,متوسط,من الهارب المضطرب عقلياً الذي حفظ خريطة الوشم من ذاكرته؟,هايواير
بريزون بريك,متوسط,ما الاسم الحقيقي للسجين الملقّب «سي نوت»؟,بنجامين مايلز فرانكلين
بريزون بريك,متوسط,ما اسم الشابّ الهارب الذي قتله ماهون في الموسم الثاني؟,توينر
بريزون بريك,متوسط,أين خبّأ ويستمورلاند ملايينه التي سعى الهاربون إليها؟,يوتا
بريزون بريك,متوسط,ما اسم السجين في سونا الذي كُلّف مايكل بتهريبه؟,جيمس ويسلر
بريزون بريك,متوسط,ما اسم زعيم سجن سونا الذي يدير السجن من داخله؟,ليتشيرو
بريزون بريك,متوسط,ما اسم الجنرال الذي يرأس الشركة؟,الجنرال كرانتز
بريزون بريك,متوسط,ما اسم عميل الأمن الداخلي الذي شكّل الفريق في الموسم الرابع؟,دون سيلف
بريزون بريك,متوسط,ما اسم عميل الخدمة السرّية الذي عمل لنائبة الرئيس ثمّ انقلب عليها؟,بول كيلرمان
بريزون بريك,متوسط,ما منصب فرانك تانكريدي والد سارة؟,حاكم ولاية إلينوي
بريزون بريك,متوسط,ما اسم الأسطورة التي زعم ويستمورلاند أنه هو؟,دي بي كوبر
بريزون بريك,متوسط,ما اسم الشاهد الذي أراد أبروزي قتله بأيّ ثمن؟,فيبوناتشي
بريزون بريك,متوسط,في أيّ ولاية أمريكية يقع سجن فوكس ريفر؟,إلينوي
بريزون بريك,صعب,ما اسم والدة مايكل ولينكولن التي ظهرت حيّةً في الموسم الرابع؟,كريستينا سكوفيلد
بريزون بريك,صعب,ما اسم القاتل المأجور الذي قتل ابن ماهون؟,وايت
بريزون بريك,صعب,ما اسم ابن ماهون الذي قُتل؟,كاميرون
بريزون بريك,صعب,ما اسم صديقة ويسلر التي خُطفت مع إل جاي؟,صوفيا
بريزون بريك,صعب,ما الاسم المستعار الذي عُرف به مايكل في سجن اليمن في الموسم الخامس؟,كانيل أوتيس
بريزون بريك,صعب,ما اسم السجن اليمني في الموسم الخامس؟,أوغيجيا
بريزون بريك,صعب,ما اسم ابن تي باغ الذي ظهر في الموسم الخامس؟,ويب
بريزون بريك,صعب,ما اسم زوج سارة في الموسم الخامس الذي تبيّن أنه «بوسايدون»؟,جيكوب نيس
بريزون بريك,صعب,ما الاسم الحقيقي للهارب الملقّب «توينر»؟,ديفيد أبولسكيس
بريزون بريك,صعب,ما المرض الذي كاد يقتل مايكل في الموسم الرابع؟,ورم في الدماغ
بريزون بريك,صعب,ما اسم ابنة سي نوت؟,ديدي
بريزون بريك,صعب,من الممثّل الذي أدّى ألكسندر ماهون؟,ويليام فيكتنر
بريزون بريك,صعب,من الممثّل الذي أدّى تي باغ؟,روبرت نيبر
بريزون بريك,صعب,من ابتكر المسلسل؟,بول شورينغ
بريزون بريك,صعب,على أيّ شبكة أمريكية عُرض المسلسل؟,فوكس
بريزون بريك,صعب,في أيّ عام عُرضت الحلقة الأولى؟,2005
بريزون بريك,صعب,ما اسم زوجة/شريكة تي باغ التي احتجزها في بيتها مع أطفالها بالموسم الثاني؟,سوزان هولاندر
بريزون بريك,صعب,كيف مات بيليك في الموسم الرابع؟,ضحّى بنفسه في نفق مياه
بريزون بريك,صعب,ما اسم عميل الخدمة السرّية شريك كيلرمان الذي قتله كيلرمان؟,دانييل هيل
بريزون بريك,صعب,ما اسم المحامي الذي ساعد فيرونيكا في قضية لينكولن؟,نيك سافرين
بريزون بريك,تعجيزي,ما اسم السجن الحقيقي الذي صُوّر فيه فوكس ريفر؟,سجن جولييت
بريزون بريك,تعجيزي,من ألّف موسيقى المسلسل؟,رامين جوادي
بريزون بريك,تعجيزي,ما اسم رئيس فوكس ريفر الذي خلف بوب بعد الهروب؟,إد بافيليتش
بريزون بريك,تعجيزي,ما الاسم المستعار الذي استعملته غريتشن في سونا؟,سوزان بي أنطوني
بريزون بريك,تعجيزي,ما اسم رفيق مايكل في أوغيجيا الكوريّ الذي اشتهر بمهاراته التقنية؟,جا
بريزون بريك,تعجيزي,ما اسم زعيم الإرهابيين في اليمن في الموسم الخامس؟,أبو رمال
بريزون بريك,تعجيزي,من الممثّلة التي أدّت سارة تانكريدي؟,سارة واين كاليس
بريزون بريك,تعجيزي,من الممثّل الذي أدّى سوكري؟,أموري نولاسكو
بريزون بريك,تعجيزي,من الممثّل الذي أدّى براد بيليك؟,وايد ويليامز
بريزون بريك,تعجيزي,من الممثّلة التي أدّت غريتشن؟,جودي لين أوكيف
بريزون بريك,تعجيزي,ما اسم زوجة ماهون؟,بام
بريزون بريك,تعجيزي,ما اسم زوجة لينكولن الراحلة والدة إل جاي؟,ليزا ريكس
بريزون بريك,تعجيزي,كم حلقةً في الموسم الأوّل؟,22
بريزون بريك,تعجيزي,كم موسماً للمسلسل بما فيها موسم العودة؟,خمسة
بريزون بريك,تعجيزي,ما اسم الفيلم التلفزيوني الذي أُنتج بعد الموسم الرابع وبيّن مصير مايكل؟,الهروب الأخير (ذا فاينل بريك)
بريزون بريك,تعجيزي,من قتل ويسلر في بداية الموسم الرابع؟,وايت
بريزون بريك,تعجيزي,ما اسم السجين الشابّ في سونا الذي صادق مايكل وهرب معه؟,ماكغرادي
بريزون بريك,تعجيزي,ما اسم زوجة سي نوت؟,كاسي
بريزون بريك,تعجيزي,ما اسم رفيق مايكل اليمني الشابّ في أوغيجيا؟,سيد
بريزون بريك,تعجيزي,من الممثّل الذي أدّى الجنرال كرانتز؟,ليون راسوم
