id,category,level,action,note,question,answer,new_question,new_answer
"E099","أحياء وفلك","سهل","حجب","تافه","ما الحيوان المعروف بخطوطه السوداء والبيضاء؟","الحمار الوحشي","",""
"E204","أحياء وفلك","سهل","حجب","تافه","ما الحيوان الذي يحمل صغاره في جراب على بطنه؟","الكنغر","",""
"E364","أحياء وفلك","سهل","حجب","تافه: صغير القطة","ما اسم صغير القطة؟","الهريرة","",""
"E441","أحياء وفلك","سهل","حجب","تافه: صغير الحصان","ما اسم صغير الحصان؟","المهر","",""
"E443","أحياء وفلك","سهل","حجب","تافه","ما الحيوان الذي يعيش في الماء وعلى اليابسة؟","الضفدع","",""
"M364","أحياء وفلك","سهل","حجب","تافه","ما الغاز الذي تطلقه النباتات في النهار؟","الأكسجين","",""
"M360","أحياء وفلك","سهل","حجب","تافه","ما الوحدة الأساسية لبناء الكائن الحي؟","الخلية","",""
"E207","أحياء وفلك","سهل","حجب","تافه","كم عدد أرجل الحشرة؟","ست أرجل","",""
"L005","أدب وفنون","سهل","حجب","تافه + مكرّر مع ADM3589","كم عدد حروف اللغة العربية؟","ثمانية وعشرون حرفًا","",""
"E381","أدب وفنون","سهل","حجب","تافه","ما اسم الكتاب الذي أُنزل على النبي موسى عليه السلام؟","التوراة","",""
"E480","أدب وفنون","سهل","حجب","تافه","ما اسم الكتاب الذي يجمع قصائد شاعر واحد؟","الديوان","",""
"E365","أحياء وفلك","سهل","حجب","تافه + الإجابة في السؤال","ما اسم النبات الذي يتّجه دوماً نحو الشمس؟","عبّاد الشمس","",""
"ADM1694","أغاني وطرب","سهل","حجب","مكرّر مع E273 (ملك البوب)","أيّ مغنٍّ يحمل لقب «ملك البوب»؟","مايكل جاكسون","",""
"ADM0721","أغاني وطرب","سهل","حجب","مكرّر مع E495 (العندليب الأسمر)","بأيّ لقب اشتُهر المطرب المصري عبد الحليم حافظ؟","العندليب الأسمر","",""
"ADM0001","أكلات","سهل","حجب","تافه: الوصف هو الكبسة","طبق سعودي أساسي يتكون من الأرز البسمتي مع اللحم أو الدجاج والبهارات الخاصة","الكبسة","",""
"ADM0003","أكلات","سهل","حجب","تافه + صياغة خبريّة لا سؤال","معكرونة تُقدم مع صلصة الريحان الأخضر الطازج، الثوم، الصنوبر، وزيت الزيتون.","باستا البستو","",""
"ADM0019","أكلات","سهل","حجب","تافه","ما الطبق الشامي المكوّن من كرات البرغل واللحم المحشوة؟","الكبة","",""
"ADM0020","أكلات","سهل","حجب","تافه","ما السلطة الشامية التي أساسها البقدونس والبرغل والطماطم؟","التبولة","",""
"ADM0022","أكلات","سهل","حجب","تافه","ما السلطة الشامية التي تحتوي خبزاً مقلياً أو محمصاً مع الخضار والسماق؟","الفتوش","",""
"ADM0023","أكلات","سهل","حجب","تافه","ما الحلوى الشامية المصنوعة من عجينة رفيعة وجبن أو قشطة ومغطاة بالقطر؟","الكنافة","",""
"ADM0038","أكلات","سهل","حجب","تافه","ما الطبق المغاربي المصنوع من حبيبات السميد المبخرة ويُقدّم مع الخضار واللحم؟","الكسكس","",""
"ADM0076","أكلات","سهل","حجب","تافه","ما الحلوى التركية المصنوعة من طبقات عجين رقيقة ومكسرات وقطر؟","البقلاوة","",""
"ADM0078","أكلات","سهل","حجب","تافه: «خبز التنور الهندي» هو النان","ما خبز التنور الهندي الطري المعروف؟","النان","",""
"ADM0079","أكلات","سهل","حجب","تافه","ما طبق الأرز الهندي المتبل الذي يُطهى غالباً مع اللحم أو الدجاج؟","البرياني","",""
"ADM0082","أكلات","سهل","حجب","تافه","ما الطبق الياباني الذي يجمع أرزاً متبلاً بالخل مع سمك أو خضار؟","السوشي","",""
"ADM0087","أكلات","سهل","حجب","تافه","ما الخبز المكسيكي الرقيق المصنوع من الذرة أو القمح؟","التورتيلا","",""
"ADM0095","أكلات","سهل","حجب","تافه","ما الطبق البريطاني المكوّن من سمك مقلي وبطاطا مقلية؟","فيش آند تشيبس","",""
"ADM0071","أكلات","سهل","حجب","تافه","ما المعجن الفرنسي الهلالي المصنوع من طبقات عجين وزبدة؟","الكرواسون","",""
"ADM0057","أكلات","سهل","حجب","تافه","ما الحلوى الخليجية المقلية على هيئة كرات صغيرة وتُغطى بالدبس أو القطر؟","اللقيمات","",""
"ADM0031","أكلات","سهل","حجب","تافه","ما الطبق المصري الأخضر الذي يُطهى من أوراق مفرومة ويُقدّم مع الأرز؟","الملوخية","",""
"ADM0029","أكلات","سهل","حجب","تافه","ما الطبق المصري الذي يجمع الأرز والمكرونة والعدس والحمص وصلصة الطماطم؟","الكشري","",""
"ADM0110","أكلات","سهل","حجب","تافه","ما البهار الأصفر الذي يُستخدم كثيراً لتلوين الأرز بديلاً عن الزعفران؟","الكركم","",""
"ADM0155","أكلات","متوسط","حجب","مكرّر مع ADM0260 (ماء الزهر)","ما ماء الزهر المستخدم بكثرة لتعطير الحلويات الشامية؟","ماء زهر البرتقال","",""
"E127","الكويت","سهل","حجب","تافه + الإجابة في السؤال","ما اسم الوجبة الشعبية الكويتية المكونة من الأرز والسمك؟","مچبوس السمك","",""
"ADM2522","ألعاب فيديو","سهل","حجب","تافه","ما اسم لعبة الهاتف التي يُقذف فيها طيورٌ غاضبة على خنازير خضراء؟","أنغري بيردز","",""
"ADM2530","ألعاب فيديو","سهل","حجب","تافه","حلوى ملوّنة تُطابقها ثلاثاً في صفّ على الهاتف — ما اسم اللعبة؟","كاندي كراش","",""
"ADM2523","ألعاب فيديو","سهل","حجب","مكرّر مع ADM3107 (فيفا/EA FC)","ما اسم سلسلة ألعاب كرة القدم التي كانت تحمل اسم الاتحاد الدوليّ حتّى 2023 ثمّ صارت «EA Sports FC»؟","فيفا","",""
"ADM2527","ألعاب فيديو","سهل","حجب","تافه","بطلٌ يقفز على سطوح القطارات هارباً من المفتّش وكلبه — ما اسم لعبة الهاتف؟","صب واي سيرفرز","",""
"ADM3099","ألعاب فيديو","سهل","حجب","تافه","ما اسم أخي ماريو ذي القبّعة الخضراء؟","لويجي","",""
"ADM2606","أنمي","سهل","حجب","تافه: كونان","ما اسم المحقّق الصغير الذي تقلّص جسمه بعد أن سُقي دواءً غريباً؟","كونان (المحقّق كونان)","",""
"ADM2615","أنمي","سهل","حجب","تافه: مانغا","ما الكلمة اليابانيّة للقصص المصوّرة التي تُقتبس منها معظم مسلسلات الأنمي؟","مانغا","",""
"M090","إسلامي","سهل","حجب","مكرّر مع E493 (الفاروق)","من الصحابي الملقب بالفاروق؟","عمر بن الخطاب","",""
"M093","إسلامي","سهل","حجب","تافه","ما أطول سورة في القرآن الكريم؟","سورة البقرة","",""
"M346","إسلامي","سهل","حجب","تافه","ما اسم أول شهر في التقويم الهجري؟","محرم","",""
"M349","إسلامي","سهل","حجب","تافه","من الخليفة الراشد الرابع؟","علي بن أبي طالب","",""
"E228","إسلامي","سهل","حجب","تافه","من النبي الذي أُلقي في النار فكانت بردًا وسلامًا عليه؟","إبراهيم عليه السلام","",""
"E046","إسلامي","سهل","حجب","تافه","من الصحابي الملقب بسيف الله المسلول؟","خالد بن الوليد","",""
"E225","إسلامي","سهل","حجب","مكرّر مع ADM3502 (63 سنة)","كم سنة عاش النبي صلى الله عليه وسلم؟","ثلاثًا وستين سنة","",""
"M096","إسلامي","متوسط","حجب","مكرّر مع ADM3434 (قلب القرآن)","ما السورة التي تُسمى قلب القرآن؟","سورة يس","",""
"ADM1961","السيرة النبوية","سهل","حجب","تافه","من الملَك الذي نزل بالوحي على النبيّ صلى الله عليه وسلم؟","جبريل عليه السلام","",""
"ADM1962","السيرة النبوية","سهل","حجب","تافه","إلى أيّ مدينةٍ هاجر النبيّ صلى الله عليه وسلم؟","المدينة المنوّرة","",""
"ADM1971","السيرة النبوية","سهل","حجب","تافه","في أيّ مدينةٍ دُفن النبيّ صلى الله عليه وسلم؟","المدينة المنوّرة","",""
"ADM1972","السيرة النبوية","سهل","حجب","تافه","ما اسم القبيلة التي ينتمي إليها النبيّ صلى الله عليه وسلم؟","قريش","",""
"ADM1964","السيرة النبوية","سهل","حجب","تافه","من أوّل الخلفاء الراشدين بعد النبيّ صلى الله عليه وسلم؟","أبو بكر الصدّيق رضي الله عنه","",""
"ADM1967","السيرة النبوية","سهل","حجب","تافه","من الصحابيّ الذي رافق النبيّ صلى الله عليه وسلم في الهجرة؟","أبو بكر الصدّيق رضي الله عنه","",""
"ADM1963","السيرة النبوية","سهل","حجب","تافه","ما اسم أوّل زوجات النبيّ صلى الله عليه وسلم؟","خديجة بنت خويلد رضي الله عنها","",""
"ADM1960","السيرة النبوية","سهل","حجب","تافه","ما أوّل كلمةٍ نزلت من القرآن الكريم؟","اقرأ","",""
"ADM1955","السيرة النبوية","سهل","حجب","تافه","ما اسم والد النبيّ صلى الله عليه وسلم؟","عبد الله","",""
"ADM2280","الصحابة والتابعون","سهل","حجب","تافه","من ثاني الخلفاء الراشدين؟","عمر بن الخطاب رضي الله عنه","",""
"ADM2285","الصحابة والتابعون","سهل","حجب","تافه + مكرّر مع ADM4405 (كربلاء)","من سبط النبيّ صلى الله عليه وسلم الذي استُشهد في كربلاء؟","الحسين بن عليّ رضي الله عنه","",""
"ADM4405","الصحابة والتابعون","سهل","حجب","تافه","في أيّ مدينة عراقية استُشهد الحسين بن علي؟","كربلاء","",""
"ADM3186","الصحابة والتابعون","سهل","حجب","مكرّر مع E393 (سعد والقادسية)","من الصحابيّ الذي قاد المسلمين في معركة القادسيّة؟","سعد بن أبي وقّاص رضي الله عنه","",""
"ADM2360","الفقه والعبادات","سهل","حجب","تافه","كم ركعةً في صلاة العشاء؟","أربع","",""
"ADM2361","الفقه والعبادات","سهل","حجب","تافه","أيّ ركنٍ من أركان الإسلام يُوصف بأنّه «عمود الدين»؟","الصلاة","",""
"ADM2365","الفقه والعبادات","سهل","حجب","تافه","ما اسم صلاة القيام الجماعيّة في ليالي رمضان؟","التراويح","",""
"ADM2366","الفقه والعبادات","سهل","حجب","تافه","ما اسم وجبة آخر الليل التي يتناولها الصائم قبل الفجر؟","السحور","",""
"ADM2369","الفقه والعبادات","سهل","حجب","تافه","ما اسم اللباس الذي يرتديه الحاجّ عند نيّة الحجّ؟","الإحرام","",""
"ADM2370","الفقه والعبادات","سهل","حجب","تافه","في أيّ يومٍ من ذي الحجّة يقف الحجّاج بعرفة؟","التاسع","",""
"ADM2372","الفقه والعبادات","سهل","حجب","تافه","ما البديل الشرعيّ عن الوضوء عند فقد الماء أو تعذّر استعماله؟","التيمّم","",""
"ADM3345","الفقه والعبادات","سهل","حجب","تافه","أيّ الصلوات المفروضة ثلاث ركعات؟","المغرب","",""
"ADM3351","الفقه والعبادات","سهل","حجب","تافه","بماذا يُختم المصلّي صلاته؟","التسليم","",""
"ADM3357","الفقه والعبادات","سهل","حجب","تافه","في أيّ شهرٍ هجريّ يُؤدّى الحجّ؟","ذو الحجّة","",""
"ADM3349","الفقه والعبادات","سهل","حجب","مكرّر مع E417 (الإفطار على التمر)","ما الذي يُستحبّ الإفطار عليه أوّلاً في رمضان؟","التمر (الرطب)","",""
"ADM2440","القرآن الكريم","سهل","حجب","تافه","في أيّ شهرٍ أُنزل القرآن الكريم؟","رمضان","",""
"ADM2441","القرآن الكريم","سهل","حجب","تافه","ما السورة التي تُسمّى «أمّ الكتاب»؟","الفاتحة","",""
"ADM2442","القرآن الكريم","سهل","حجب","تافه","ما آخر سورةٍ في ترتيب المصحف؟","الناس","",""
"ADM2443","القرآن الكريم","سهل","حجب","تافه","ما السورتان اللتان تُسمّيان «المعوّذتين»؟","الفلق والناس","",""
"ADM2453","القرآن الكريم","سهل","حجب","تافه","ما أوّل سورةٍ في ترتيب المصحف بعد الفاتحة؟","البقرة","",""
"ADM3421","القرآن الكريم","سهل","حجب","تافه","كم جزءاً في القرآن الكريم؟","ثلاثون","",""
"ADM3431","القرآن الكريم","سهل","حجب","تافه","في أيّ سورةٍ تقع آية الكرسيّ؟","البقرة","",""
"ADM2457","القرآن الكريم","سهل","حجب","مكرّر مع ADM2453 (البقرة) + تافه","ما أوّل سورةٍ من السور السبع الطوال؟","البقرة","",""
"E302","الكويت","سهل","حجب","تافه (كالأفنيوز المحذوف)","ما اسم السوق الشعبي القديم الأشهر في مدينة الكويت؟","سوق المباركية","",""
"E301","الكويت","سهل","حجب","تافه","ما المهنة التي كان يعتمد عليها أهل الكويت قبل ظهور النفط؟","الغوص على اللؤلؤ","",""
"ADM2823","الكويت","سهل","حجب","تافه","ما اسم مهرجان التسوّق السنويّ الذي يتزامن مع الأعياد الوطنيّة في الكويت؟","هلا فبراير","",""
"E380","الكويت","سهل","حجب","تافه","ما اسم المركز الكويتي الذي يضمّ أكبر حوض أسماك في المنطقة؟","المركز العلمي","",""
"E307","الكويت","سهل","حجب","تافه","ما السمكة التي تُعدّ الأغلى والأشهر على المائدة الكويتية؟","الزبيدي","",""
"E027","تاريخ وحضارات","سهل","حجب","تافه","ما اسم السفينة الشهيرة التي غرقت عام 1912؟","تيتانيك","",""
"E030","تاريخ وحضارات","سهل","حجب","مكرّر مع E261 (كولومبوس)","من الرحالة الذي وصل إلى أمريكا عام 1492؟","كريستوفر كولومبوس","",""
"E033","تاريخ وحضارات","سهل","حجب","مكرّر مع E269 (غاندي)","من الزعيم الهندي صاحب فلسفة اللاعنف؟","غاندي","",""
"E034","تاريخ وحضارات","سهل","حجب","مكرّر مع E270 (مانديلا)","من الزعيم الذي قاد النضال ضد الفصل العنصري في جنوب أفريقيا؟","نيلسون مانديلا","",""
"E035","تاريخ وحضارات","سهل","حجب","مكرّر مع E268 (صلاح الدين)","من القائد الذي حرر بيت المقدس من الصليبيين؟","صلاح الدين الأيوبي","",""
"E220","تاريخ وحضارات","سهل","حجب","تافه","ما الدولة التي ورثت الاتحاد السوفيتي بعد تفككه؟","روسيا","",""
"E032","تاريخ وحضارات","سهل","حجب","مكرّر مع ADM2114 (توت عنخ آمون)","ما اسم الفرعون الذي اكتُشفت مقبرته كاملة؟","توت عنخ آمون","",""
"E410","تاريخ وحضارات","سهل","حجب","مكرّر مع ADM2128 (الحدائق المعلّقة)","ما اسم الحدائق التي عُدّت من عجائب الدنيا القديمة وكانت في العراق؟","الحدائق المعلّقة","",""
"E214","تاريخ وحضارات","سهل","حجب","مكرّر مع ADM2123 (خوفو)","من الملك الذي بُني له الهرم الأكبر في الجيزة؟","خوفو","",""
"E213","تاريخ وحضارات","سهل","حجب","تافه","ما اسم الحيلة الخشبية التي دخل بها الإغريق مدينة طروادة؟","حصان طروادة","",""
"E113","تقنية ومنوعات","سهل","حجب","تافه","من مؤسس شبكة فيسبوك؟","مارك زوكربيرغ","",""
"E235","تقنية ومنوعات","سهل","حجب","مكرّر مع E491 (ماسك)","من مؤسس شركة سبيس إكس للصواريخ؟","إيلون ماسك","",""
"M105","تقنية ومنوعات","سهل","حجب","تافه","من مؤسس شركة مايكروسوفت؟","بيل غيتس","",""
"M106","تقنية ومنوعات","سهل","حجب","مكرّر مع E271 (جوبز)","من مؤسس شركة آبل؟","ستيف جوبز","",""
"E463","تقنية ومنوعات","سهل","حجب","تافه","ما اسم الشركة التي تصنع أجهزة بلايستيشن؟","سوني","",""
"E114","تقنية ومنوعات","سهل","حجب","تافه","ما أشهر عملة رقمية في العالم؟","بيتكوين","",""
"M246","تقنية ومنوعات","سهل","حجب","تافه","ما الشركة المطورة لنظام أندرويد؟","جوجل","",""
"E239","تقنية ومنوعات","سهل","حجب","تافه","ما اسم أكبر شركة نفط في السعودية؟","أرامكو","",""
"M003","تقنية ومنوعات","سهل","حجب","مكرّر مع E263 (إديسون)","من مخترع المصباح الكهربائي؟","توماس إديسون","",""
"E002","جغرافيا ومعالم","سهل","حجب","تافه","في أي دولة يقع برج بيزا المائل؟","إيطاليا","",""
"E009","جغرافيا ومعالم","سهل","حجب","تافه","في أي دولة تقع مدينة بيت لحم؟","فلسطين","",""
"E011","جغرافيا ومعالم","سهل","حجب","تافه","ما الدولة الأوروبية المشهورة بالطواحين وزهور التوليب؟","هولندا","",""
"E012","جغرافيا ومعالم","سهل","حجب","تافه","ما الدولة المشهورة بصناعة الساعات والشوكولاتة؟","سويسرا","",""
"E146","جغرافيا ومعالم","سهل","حجب","تافه","ما أكبر مدينة في مصر سكانًا؟","القاهرة","",""
"E021","جغرافيا ومعالم","سهل","حجب","تافه","ما البحر الذي تطل عليه سوريا ولبنان؟","البحر المتوسط","",""
"E007","جغرافيا ومعالم","سهل","حجب","تافه","ما المحيط الذي يفصل أوروبا عن أمريكا؟","المحيط الأطلسي","",""
"M123","جغرافيا ومعالم","سهل","حجب","تافه","ما المدينة الملقبة بمدينة الضباب؟","لندن","",""
"M435","جغرافيا ومعالم","سهل","حجب","تافه","ما الدولة الواقعة في قارتين وعاصمتها أنقرة؟","تركيا","",""
"ADM3827","حروف","سهل","حجب","تافه","ما الشركة التي تملك موقع يوتيوب؟","غوغل","",""
"ADM3833","حروف","سهل","حجب","تافه","ما الشركة السويدية الشهيرة بالأثاث؟","إيكيا","",""
"ADM4234","حروف","سهل","حجب","تافه","أيّ حيوان يظهر في شعار سيارات فيراري؟","الحصان","",""
"ADM4236","حروف","سهل","حجب","تافه","ما سلسلة المقاهي صاحبة شعار الحورية الخضراء؟","ستاربكس","",""
"ADM3828","حروف","سهل","حجب","تافه","ما الدولة التي تُلقّب ببلاد الأرز؟","لبنان","",""
"ADM3829","حروف","سهل","حجب","تافه","أيّ بلد عربيّ يُلقّب ببلاد الرافدين؟","العراق","",""
"ADM4237","حروف","سهل","حجب","تافه","ما الرياضة التي اشتهر بها تايغر وودز؟","الغولف","",""
"ADM4246","حروف","سهل","حجب","تافه","ما البلد الأصلي لأكلة التاكو؟","المكسيك","",""
"ADM4228","حروف","سهل","حجب","تافه","ما اسم عاصمة اليونان؟","أثينا","",""
"ADM2117","حضارات قديمة","سهل","حجب","تافه","ما اسم النهر الذي قامت على ضفافه الحضارة المصريّة؟","النيل","",""
