التصنيف,المستوى,السؤال,الإجابة,الموضوع
من القائل؟,سهل,من قائل: «على قدرِ أهلِ العزمِ تأتي العزائمُ * وتأتي على قدرِ الكرامِ المكارمُ»؟,المتنبي,تكملة الخليّة
من القائل؟,سهل,من قائل: «إذا غامرتَ في شرفٍ مرومٍ * فلا تقنعْ بما دونَ النجومِ»؟,المتنبي,تكملة الخليّة
من القائل؟,سهل,من قائل: «أعزُّ مكانٍ في الدنا سرجُ سابحٍ * وخيرُ جليسٍ في الزمانِ كتابُ»؟,المتنبي,تكملة الخليّة
من القائل؟,سهل,من قائل: «إذا رأيتَ نيوبَ الليثِ بارزةً * فلا تظننَّ أنّ الليثَ يبتسمُ»؟,المتنبي,تكملة الخليّة
من القائل؟,سهل,من قائل: «من يهُنْ يسهُلِ الهوانُ عليه * ما لجرحٍ بميّتٍ إيلامُ»؟,المتنبي,تكملة الخليّة
من القائل؟,سهل,من قائل: «قم للمعلّمِ وفِّهِ التبجيلا * كاد المعلّمُ أن يكونَ رسولا»؟,أحمد شوقي,تكملة الخليّة
من القائل؟,سهل,من قائل: «دقّاتُ قلبِ المرءِ قائلةٌ له * إنّ الحياةَ دقائقٌ وثواني»؟,أحمد شوقي,تكملة الخليّة
من القائل؟,سهل,من قائل: «وإنّما الأممُ الأخلاقُ ما بقيت * فإن هُمُ ذهبت أخلاقُهم ذهبوا»؟,أحمد شوقي,تكملة الخليّة
من القائل؟,سهل,من قائل: «ألا أيّها الليلُ الطويلُ ألا انجلِ * بصبحٍ وما الإصباحُ منكَ بأمثلِ»؟,امرؤ القيس,تكملة الخليّة
من القائل؟,سهل,من قائل: «هل غادرَ الشعراءُ من متردَّمِ * أم هل عرفتَ الدارَ بعد توهُّمِ»؟,عنترة بن شداد,تكملة الخليّة
من القائل؟,سهل,من الفيلسوف اليوناني القائل: «أنا أعلم أنّني لا أعلم شيئاً»؟,سقراط,تكملة الخليّة
من القائل؟,سهل,من القائد الروماني القائل بعد نصره الخاطف: «جئتُ، رأيتُ، انتصرتُ»؟,يوليوس قيصر,تكملة الخليّة
من القائل؟,سهل,من الكاتب المسرحي صاحب العبارة: «أكون أو لا أكون، تلك هي المسألة»؟,شكسبير,تكملة الخليّة
من القائل؟,سهل,من الفيلسوف اليوناني القائل: «الإنسانُ حيوانٌ اجتماعيٌّ بطبعه»؟,أرسطو,تكملة الخليّة
من القائل؟,متوسط,من قائل: «واحرَّ قلباهُ ممّن قلبُه شبِمُ * ومن بجسمي وحالي عندَه سقمُ»؟,المتنبي,تكملة الخليّة
من القائل؟,متوسط,من قائل: «وليس يصحُّ في الأذهانِ شيءٌ * إذا احتاجَ النهارُ إلى دليلِ»؟,المتنبي,تكملة الخليّة
من القائل؟,متوسط,من قائل: «السيفُ أصدقُ إنباءً من الكتبِ * في حدِّه الحدُّ بين الجدِّ واللعبِ»؟,أبو تمام,تكملة الخليّة
من القائل؟,متوسط,من قائل: «ولقد ذكرتُكِ والرماحُ نواهلٌ * منّي وبيضُ الهندِ تقطرُ من دمي»؟,عنترة بن شداد,تكملة الخليّة
من القائل؟,متوسط,من قائل: «سيذكرني قومي إذا جدَّ جدُّهم * وفي الليلةِ الظلماءِ يُفتقدُ البدرُ»؟,أبو فراس الحمداني,تكملة الخليّة
من القائل؟,متوسط,من الرئيس الأمريكي القائل في خطاب تنصيبه: «الشيء الوحيد الذي يجب أن نخافه هو الخوف نفسه»؟,فرانكلين روزفلت,تكملة الخليّة
من القائل؟,صعب,من قائل: «أضحى التنائي بديلاً من تدانينا * ونابَ عن طيبِ لُقيانا تجافينا»؟,ابن زيدون,تكملة الخليّة
من القائل؟,صعب,من قائل: «ودِّعْ هريرةَ إنّ الركبَ مرتحلُ * وهل تطيقُ وداعاً أيّها الرجلُ»؟,الأعشى,تكملة الخليّة
من القائل؟,صعب,من قائل: «إذا كنتَ في كلّ الأمورِ معاتباً * صديقَك لم تلقَ الذي لا تعاتبُه»؟,بشار بن برد,تكملة الخليّة
من القائل؟,صعب,من قائل: «سئمتُ تكاليفَ الحياةِ ومن يعشْ * ثمانينَ حولاً لا أبا لكَ يسأمِ»؟,زهير بن أبي سلمى,تكملة الخليّة
