التصنيف,المستوى,السؤال,الإجابة
صراع العروش,سهل,ما العبارة الشهيرة شعار آل ستارك؟,الشتاء قادم
صراع العروش,سهل,ما لقب دينيريس تارغاريان الأشهر؟,أمّ التنانين
صراع العروش,سهل,ما اسم القلعة مقرّ آل ستارك في الشمال؟,وينترفيل
صراع العروش,سهل,ما اسم العرش الذي تتصارع عليه العائلات؟,العرش الحديدي
صراع العروش,سهل,ما اسم القزم الذكي من آل لانيستر؟,تيريون
صراع العروش,سهل,من الممثّل الذي أدّى تيريون لانيستر؟,بيتر دينكلاج
صراع العروش,سهل,ما اسم عاصمة الممالك السبع؟,كينغز لاندينغ
صراع العروش,سهل,ما اسم الجيش المتجمّد الذي يقوده ملك الليل؟,السائرون البيض
صراع العروش,سهل,ما اسم الحائط الجليدي الضخم في أقصى الشمال؟,الجدار
صراع العروش,سهل,ما اسم التنظيم الذي يحرس الجدار وانضمّ إليه جون سنو؟,الحرس الليلي
صراع العروش,سهل,ما اسم الفتاة من آل ستارك التي صارت قاتلة بلا وجه؟,آريا
صراع العروش,سهل,ما اسم شقيقة آريا الكبرى؟,سانسا
صراع العروش,سهل,ما اسم الملك الشابّ القاسي ابن سيرسي الذي مات مسموماً في عرسه؟,جوفري
صراع العروش,سهل,ما اسم الحيوان في شعار آل لانيستر؟,الأسد
صراع العروش,سهل,ما اسم الحيوان في شعار آل ستارك؟,الذئب الرهيب
صراع العروش,سهل,من الممثّلة التي أدّت دينيريس؟,إيميليا كلارك
صراع العروش,سهل,ما اسم الفارس الضخم الملقّب «الجبل»؟,غريغور كليغين
صراع العروش,سهل,ما اسم شقيق «الجبل» الملقّب «كلب الصيد»؟,ساندور كليغين
صراع العروش,سهل,ما اسم زوجة نيد ستارك؟,كاتلين
صراع العروش,سهل,على أيّ سلسلة روائية اقتُبس المسلسل؟,أغنية الجليد والنار
صراع العروش,متوسط,من مؤلّف الروايات التي اقتُبس منها المسلسل؟,جورج آر آر مارتن
صراع العروش,متوسط,ما اسم الحدث الدموي الذي قُتل فيه روب ستارك وأمّه في عرس؟,الزفاف الأحمر
صراع العروش,متوسط,ما اسم سيف جون سنو من الفولاذ الفاليري؟,لونغكلو (المخلب الطويل)
صراع العروش,متوسط,ما اسم الذئبة الرهيبة التي تملكها آريا؟,نيميريا
صراع العروش,متوسط,ما اسم ذئب جون سنو الأبيض؟,غوست
صراع العروش,متوسط,ما اسم الرجل الملقّب «الإصبع الصغير»؟,بيتر بيليش
صراع العروش,متوسط,ما اسم الخصيّ رئيس الجواسيس الملقّب «العنكبوت»؟,فاريس
صراع العروش,متوسط,ما اسم التنّين الأكبر الذي تمتطيه دينيريس؟,دروغون
صراع العروش,متوسط,ما اسم زوج دينيريس الأوّل زعيم الدوثراكي؟,خال دروغو
صراع العروش,متوسط,ما اسم المدينة الحرّة التي درّبت فيها آريا مع «الرجال بلا وجوه»؟,برافوس
صراع العروش,متوسط,ما اسم البيت الذي شعاره الغزال وكان روبرت ملكاً منه؟,آل باراثيون
صراع العروش,متوسط,ما اسم الجزر الحديدية عائلة ثيون؟,آل غرايجوي
صراع العروش,متوسط,ما اسم عائلة الجنوب الغنيّة بالورود التي تنتمي إليها مارجري؟,آل تايرل
صراع العروش,متوسط,ما اسم عائلة الأفعى الحمراء أوبرين في دورن؟,آل مارتل
صراع العروش,متوسط,من قتل نيد ستارك بأمره؟,جوفري
صراع العروش,متوسط,من والد جون سنو الحقيقي؟,ريغار تارغاريان
صراع العروش,متوسط,ما اسم الفارسة الضخمة التي أقسمت بحماية بنات ستارك؟,برين أوف تارث
صراع العروش,متوسط,ما اسم صديق جون سنو السمين في الحرس الليلي؟,سامويل تارلي
صراع العروش,متوسط,ما اسم المادّة الخضراء المتفجّرة التي أحرقت بها سيرسي معبد بايلور؟,النار البرّية
صراع العروش,متوسط,ما اسم الملك الذي أخذ العرش بعد جوفري؟,تومن
صراع العروش,صعب,ما اسم التنّين الذي قتله ملك الليل ثمّ أحياه؟,فيسيريون
صراع العروش,صعب,ما اسم «الملك المجنون» والد دينيريس؟,إيريس الثاني
صراع العروش,صعب,ما اسم التنّين الثالث الذي سُمّي على أخي دينيريس؟,ريغال
صراع العروش,صعب,ما اسم أخي دينيريس الذي «توّجه» دروغو بالذهب المصهور؟,فيسيريس
صراع العروش,صعب,من قتل ملك الليل؟,آريا
صراع العروش,صعب,ما اسم المعلّم الذي درّب آريا على السيف في كينغز لاندينغ؟,سيريو فوريل
صراع العروش,صعب,ما اسم سيف آريا الصغير؟,نيدل (الإبرة)
صراع العروش,صعب,ما الاسم الحقيقي لجون سنو؟,إيغون تارغاريان
صراع العروش,صعب,ما اسم مدينة العبيد التي حرّرتها دينيريس واتّخذتها مقرّاً؟,ميرين
صراع العروش,صعب,ما اسم الجيش الخصيّ الذي اشترته دينيريس؟,الأنسليد
صراع العروش,صعب,ما اسم قائد الأنسليد؟,غراي وورم
صراع العروش,صعب,ما اسم الكاهنة الحمراء التي أحيت جون سنو؟,ميليساندر
صراع العروش,صعب,ما اسم الأخ الأصغر لروبرت الذي طالب بالعرش واستعان بالكاهنة الحمراء؟,ستانيس
