التصنيف,المستوى,السؤال,الإجابة
أحياء وفلك,سهل,ما أسرع حيوانٍ برّيّ في العالم؟,الفهد
إسلامي,سهل,ما المسجد الذي يُعدّ أولى القبلتين؟,المسجد الأقصى
إسلامي,سهل,كم عدد الأشهر الحُرُم في السنة الهجريّة؟,أربعة
إسلامي,سهل,ما اسم النداء الثاني الذي يُرفع قُبيل بدء الصلاة مباشرة؟,الإقامة
إسلامي,سهل,من الملَك الموكّل بالنفخ في الصور؟,إسرافيل
الكويت,سهل,في أيّ يومٍ من السنة يُحتفل بالعيد الوطنيّ للكويت؟,25 فبراير
الكويت,سهل,ما اسم الشارع الساحليّ الطويل الذي يمتدّ على واجهة مدينة الكويت البحريّة؟,شارع الخليج العربي
تاريخ وحضارات,سهل,في أيّ عامٍ وقع الغزو العراقيّ للكويت؟,1990
تقنية ومنوعات,سهل,ما لغة البرمجة التي تحمل اسم ثعبان وتُعدّ الأكثر شيوعاً للمبتدئين؟,بايثون
تقنية ومنوعات,سهل,ما اسم متصفّح الويب الذي تطوّره مؤسّسة موزيلا؟,فايرفوكس
تقنية ومنوعات,سهل,بأيّ وحدةٍ تُقاس سرعة معالج الحاسوب؟,الهرتز (غيغاهرتز)
تقنية ومنوعات,سهل,ماذا يُسمّى البرنامج الخبيث الذي يشفّر ملفّات الجهاز ويطلب مالاً مقابل فكّها؟,فيروس الفدية
تقنية ومنوعات,سهل,ما اسم الجهاز الذي يوزّع الإنترنت لاسلكيّاً داخل البيت؟,الراوتر
تقنية ومنوعات,سهل,ما لغة الترميز التي تُبنى بها هياكل صفحات الويب؟,HTML
دوري أبطال أوروبا,سهل,في أيّ دولةٍ يلعب نادي بورتو؟,البرتغال
دوري أبطال أوروبا,سهل,في أيّ يومين من الأسبوع تُقام مباريات البطولة عادةً؟,الثلاثاء والأربعاء
دوري أبطال أوروبا,سهل,ما اسم ملعب بايرن ميونخ؟,أليانز أرينا
دوري أبطال أوروبا,سهل,أيّ نادٍ من العاصمة الإسبانيّة يلعب بالأحمر والأبيض المقلّم؟,أتلتيكو مدريد
دوري أبطال أوروبا,سهل,إلى أيّ دولةٍ ينتمي نادي غلطة سراي؟,تركيا
رياضة عامة,سهل,كم عدد لاعبي فريق كرة السلة داخل الملعب؟,خمسة
رياضة عامة,سهل,ما اسم بطولة التنس الكبرى التي تُقام في باريس على الملاعب الترابيّة؟,رولان غاروس
سينما ودراما,سهل,من الممثّل الذي أدّى دور «جاك» في فيلم تايتانيك؟,ليوناردو دي كابريو
علوم واختراعات,سهل,ما الغاز الخفيف الذي يجعل البالونات تطفو في الهواء؟,الهيليوم
علوم واختراعات,سهل,ما المعدن الذي يكون سائلاً في درجة حرارة الغرفة؟,الزئبق
أحياء وفلك,سهل,ما أقرب كواكب المجموعة الشمسيّة إلى الشمس؟,عطارد
أحياء وفلك,سهل,ما الكوكب المشهور بحلقاته الواضحة؟,زحل
أحياء وفلك,سهل,ما أكبر أنواع القطط البرّيّة حجماً؟,النمر
إسلامي,سهل,كم عدد الأنبياء والرسل المذكورين بأسمائهم في القرآن الكريم؟,25
الكويت,سهل,أيّ نادٍ كويتيّ لكرة القدم يُلقّب بـ«القلعة الصفراء»؟,القادسية
الكويت,سهل,«العنيد» لقبُ أيّ نادٍ كويتيّ لكرة القدم؟,السالمية
تاريخ وحضارات,سهل,في أيّ عامٍ وقعت النكبة الفلسطينيّة وقيام إسرائيل؟,1948
تقنية ومنوعات,سهل,ما وحدة التخزين التي تساوي ألف غيغابايت؟,تيرابايت
سينما ودراما,سهل,من الممثّل السوريّ الذي أدّى شخصيّة «غوّار الطوشة»؟,دريد لحام
علوم واختراعات,سهل,من العالم الذي اكتشف البنسلين سنة 1928؟,ألكسندر فليمنغ
إسلامي,سهل,ما اسم البحر الذي انفلق لموسى عليه السلام وغرق فيه فرعون؟,البحر الأحمر
الكويت,سهل,ما اسم منفذ الكويت الحدوديّ البرّيّ مع العراق؟,العبدلي
الكويت,سهل,بأيّ اسمٍ يُعرف المنفذ الحدوديّ الساحليّ بين الكويت والسعوديّة؟,النويصيب
تاريخ وحضارات,سهل,من قائد المغول الذي أسقط بغداد سنة 1258 وقتل الخليفة العبّاسيّ؟,هولاكو
تقنية ومنوعات,سهل,ما اسم أشهر منصّة لاستضافة الشيفرة البرمجيّة ومشاركتها، وتملكها مايكروسوفت؟,غيت هاب
دوري أبطال أوروبا,سهل,نادي سيلتيك من أيّ دولة؟,اسكتلندا
سينما ودراما,سهل,من الممثّل الأمريكيّ بطل «تيرميناتور» الذي صار حاكماً لولاية كاليفورنيا؟,أرنولد شوارزنيغر
