التصنيف,المستوى,السؤال,الإجابة,الصورة
أعلام دول,تعجيزي,علم أيّ دولة هذا؟,أنتيغوا وباربودا,pic-flag-ag
أعلام دول,تعجيزي,علم أيّ دولة هذا؟,باربادوس,pic-flag-bb
أعلام دول,تعجيزي,علم أيّ دولة هذا؟,الباهاما,pic-flag-bs
أعلام دول,تعجيزي,علم أيّ دولة هذا؟,دومينيكا,pic-flag-dm
أعلام دول,تعجيزي,علم أيّ دولة هذا؟,غرينادا,pic-flag-gd
أعلام دول,تعجيزي,علم أيّ دولة هذا؟,سانت لوسيا,pic-flag-lc
أعلام دول,تعجيزي,علم أيّ دولة هذا؟,سانت كيتس ونيفيس,pic-flag-kn
أعلام دول,تعجيزي,علم أيّ دولة هذا؟,سانت فينسنت والغرينادين,pic-flag-vc
أعلام دول,تعجيزي,علم أيّ دولة هذا؟,ترينيداد وتوباغو,pic-flag-tt
أعلام دول,تعجيزي,علم أيّ دولة هذا؟,هايتي,pic-flag-ht
أعلام دول,تعجيزي,علم أيّ دولة هذا؟,بليز,pic-flag-bz
أعلام دول,تعجيزي,علم أيّ دولة هذا؟,غيانا,pic-flag-gy
أعلام دول,تعجيزي,علم أيّ دولة هذا؟,كيريباتي,pic-flag-ki
أعلام دول,تعجيزي,علم أيّ دولة هذا؟,ناورو,pic-flag-nr
أعلام دول,تعجيزي,علم أيّ دولة هذا؟,توفالو,pic-flag-tv
أعلام دول,تعجيزي,علم أيّ دولة هذا؟,فانواتو,pic-flag-vu
أعلام دول,تعجيزي,علم أيّ دولة هذا؟,جزر سليمان,pic-flag-sb
أعلام دول,تعجيزي,علم أيّ دولة هذا؟,بابوا غينيا الجديدة,pic-flag-pg
أعلام دول,تعجيزي,علم أيّ دولة هذا؟,جزر مارشال,pic-flag-mh
أعلام دول,تعجيزي,علم أيّ دولة هذا؟,إسواتيني,pic-flag-sz
أعلام دول,تعجيزي,علم أيّ دولة هذا؟,ليسوتو,pic-flag-ls
أعلام دول,تعجيزي,علم أيّ دولة هذا؟,سيشل,pic-flag-sc
أعلام دول,تعجيزي,علم أيّ دولة هذا؟,ساو تومي وبرينسيب,pic-flag-st
أعلام دول,تعجيزي,علم أيّ دولة هذا؟,غينيا بيساو,pic-flag-gw
أعلام دول,تعجيزي,علم أيّ دولة هذا؟,تركمانستان,pic-flag-tm
