question_id,level,topic,question,answer
"E182","سهل","رياضيات","كم يساوي 15% من 200؟","ثلاثون"
"E183","سهل","رياضيات","ما العدد الذي يمثله الرمز الروماني X؟","عشرة"
"E184","سهل","رياضيات","كم ضلعًا في الشكل المُثمَّن؟","ثمانية أضلاع"
"E185","سهل","رياضيات","كم يساوي ربع الألف؟","250"
"E186","سهل","رياضيات","ما اسم المجسم الذي جميع أوجهه مربعات متساوية؟","المكعب"
"E367","سهل","رياضة","كم دقيقة في ثلث الساعة؟","عشرون دقيقة"
"E369","سهل","رياضة","ما اسم الشهر الميلادي الذي يزيد يوماً في السنة الكبيسة؟","فبراير"
"E370","سهل","رياضة","ما اسم الشكل الهندسي الذي لا أضلاع له ولا زوايا؟","الدائرة"
"E450","سهل","رياضة","ما اسم الشكل الرباعي الذي فيه ضلعان متوازيان فقط؟","شبه المنحرف"
"E452","سهل","رياضة","كم يساوي مربّع العدد تسعة؟","واحد وثمانون"
"E455","سهل","رياضة","كم يوماً في السنة الميلادية العادية؟","365 يوماً"
"M287","سهل","رياضيات","كم ثانية في الساعة الواحدة؟","3600 ثانية"
"M414","سهل","رياضيات","كم درجة مجموع زوايا المربع؟","360 درجة"
"S016","سهل","رياضيات","كم يساوي حاصل ضرب اثني عشر في اثني عشر؟","144"
"S017","سهل","رياضيات","ما العدد الذي يمثله الرمز الروماني L؟","خمسون"
"S018","سهل","رياضيات","كم ضلعًا في الشكل الخماسي؟","خمسة أضلاع"
"S019","سهل","رياضيات","كم يساوي عشرة بالمئة من خمسمئة؟","خمسون"
"S020","سهل","رياضيات","ما الشكل الذي له أربعة أضلاع متساوية وأربع زوايا قائمة؟","المربع"
"S021","سهل","رياضيات","كم صفرًا في الألف؟","ثلاثة أصفار"
"S022","سهل","رياضيات","ما أصغر عدد أولي؟","اثنان"
"S023","سهل","رياضيات","كم درجة مجموع زوايا المثلث؟","180 درجة"
"S024","سهل","رياضيات","ما اسم الخط الذي يصل بين نقطتين على محيط الدائرة ويمرّ بمركزها؟","القطر"
"S025","سهل","رياضيات","كم دقيقة في ساعتين؟","120 دقيقة"
"S026","سهل","رياضيات","ما اسم الزاوية التي تساوي تسعين درجة؟","الزاوية القائمة"
"H081","صعب","رياضيات","ما النظرية التي تربط أضلاع المثلث القائم؟","نظرية فيثاغورس"
"H083","صعب","رياضيات","من العالم الإغريقي الذي وضع أسس الهندسة؟","إقليدس"
"H084","صعب","رياضيات","كم عدد الأعداد الأولية بين 1 و10؟","أربعة"
"H121","صعب","رياضيات","ما اسم العدد الذي يساوي واحدًا يتبعه مئة صفر؟","غوغول"
"H122","صعب","رياضيات","كم قطرًا في المضلع السداسي؟","تسعة"
"H210","صعب","رياضيات","ما اسم العدد الذي لا يقبل القسمة إلا على نفسه وعلى الواحد؟","العدد الأولي"
"H211","صعب","رياضيات","كم عدد أحرف المكعب؟","اثنا عشر حرفًا"
"H212","صعب","رياضيات","ما القيمة التقريبية للعدد النيبيري e؟","2.71"
"H213","صعب","رياضيات","ما اسم المتتالية التي يكون فيها كل عدد مجموع العددين السابقين له؟","متتالية فيبوناتشي"
"H214","صعب","رياضيات","كم عددًا أوليًا بين 1 و20؟","ثمانية أعداد"
"H348","صعب","رياضة","ما اسم العدد الذي لا يقبل التعبير عنه بكسر اعتيادي؟","العدد غير النسبي"
"H349","صعب","رياضة","كم عدد أوجه المجسم الأفلاطوني المسمّى الاثني عشري؟","اثنا عشر وجهاً"
"H352","صعب","رياضة","ما اسم المبرهنة الشهيرة التي ظلّت بلا برهان أكثر من ثلاثة قرون وبرهنها آندرو وايلز؟","مبرهنة فيرما الأخيرة"
"H431","صعب","رياضة","ما اسم العدد الذي يساوي مجموع قواسمه الحقيقية؟","العدد التام"
"H432","صعب","رياضة","كم عدد أقطار المضلع الثماني؟","عشرون قطراً"
"H434","صعب","رياضة","ما اسم المسألة الرياضية التي تسأل عن أقلّ عدد ألوان لتلوين خريطة؟","مبرهنة الألوان الأربعة"
"H435","صعب","رياضة","كم يساوي مجموع زوايا المضلع العشاري الداخلية؟","1440 درجة"
"H437","صعب","رياضة","ما اسم الدالة التي تعطي عدد الأعداد الأولية الأصغر من عدد معيّن؟","دالة عدّ الأوّليات"
"S055","صعب","رياضيات","كم يساوي الجذر التربيعي للعدد 225؟","خمسة عشر"
"S056","صعب","رياضيات","كم درجة مجموع زوايا المضلع السداسي؟","720 درجة"
"S057","صعب","رياضيات","ما القيمة التقريبية للنسبة الذهبية؟","1.618"
"S058","صعب","رياضيات","كم يساوي اثنان مرفوعًا للأس عشرة؟","1024"
"S059","صعب","رياضيات","ما اسم الكتاب الذي وضع فيه الخوارزمي أسس علم الجبر؟","كتاب الجبر والمقابلة"
"S060","صعب","رياضيات","كم وجهًا في الهرم ذي القاعدة المثلثة؟","أربعة أوجه"
"S061","صعب","رياضيات","ما اسم النظام العددي الذي يستخدم رقمين فقط؟","النظام الثنائي"
"S062","صعب","رياضيات","ما أكبر عدد أولي أقلّ من مئة؟","سبعة وتسعون"
"S063","صعب","رياضيات","ما اسم المثلث الذي إحدى زواياه أكبر من تسعين درجة؟","المثلث منفرج الزاوية"
"H082","متوسط","رياضيات","ما القيمة التقريبية للثابت باي؟","3.14"
"M277","متوسط","رياضيات","كم دقيقة في اليوم الواحد؟","1440 دقيقة"
"M278","متوسط","رياضيات","كم صفرًا في التريليون؟","اثنا عشر صفرًا"
"M286","متوسط","رياضيات","كم يبلغ مجموع الوجهين المتقابلين في حجر النرد؟","سبعة"
"M412","متوسط","رياضيات","كم يساوي الجذر التربيعي للعدد 144؟","اثنا عشر"
"M413","متوسط","رياضيات","ما اسم المثلث الذي تتساوى أضلاعه الثلاثة؟","المثلث متساوي الأضلاع"
"M415","متوسط","رياضيات","كم صفرًا في المليون؟","ستة أصفار"
"M416","متوسط","رياضيات","كم عدد أوجه حجر النرد؟","ستة أوجه"
"M619","متوسط","رياضة","كم يساوي عشرة أُسّ ثلاثة؟","ألف"
"M621","متوسط","رياضة","ما اسم الشكل الهندسي الذي له سبعة أضلاع؟","المسبّع"
"M622","متوسط","رياضة","ما اسم الرقم الذي إذا قُسم عليه أي عدد بقي كما هو؟","الواحد"
"M702","متوسط","رياضة","كم يساوي سبعة في ثمانية؟","ستة وخمسون"
"M705","متوسط","رياضة","ما اسم العدد الذي ليس موجباً ولا سالباً؟","الصفر"
"M707","متوسط","رياضة","كم يساوي ثلث الثلاثمئة؟","مئة"
"M708","متوسط","رياضة","ما اسم الوحدة التي تُقاس بها الزوايا وتساوي جزءاً من ثلاثمئة وستين؟","الدرجة"
"S039","متوسط","رياضيات","كم يساوي الجذر التربيعي للعدد 169؟","ثلاثة عشر"
"S040","متوسط","رياضيات","كم درجة مجموع زوايا المضلع الخماسي؟","540 درجة"
"S041","متوسط","رياضيات","ما اسم المثلث الذي تتساوى فيه ضلعان فقط؟","المثلث متساوي الساقين"
"S042","متوسط","رياضيات","كم صفرًا في المليار؟","تسعة أصفار"
"S064","متوسط","رياضيات","كم يساوي مجموع الأعداد من واحد إلى عشرة؟","خمسة وخمسون"
