التصنيف,المستوى,السؤال,الإجابة
إيموجي,سهل,🧽 🍍 🌊 — ما الكرتون؟,سبونج بوب
إيموجي,صعب,👦 👦 🏘️ 🌴 📺 — ما المسلسل الكويتي؟,عيال قرية
إيموجي,صعب,🧔 🚫 💍 🏖️ 🎭 — ما المسرحية الكويتية؟,عزوبي السالمية
إيموجي,صعب,🐂 ⬇️ 🔪 🔪 🔪 — ما المثل؟,ما طاح الثور إلا كثرت سكاكينه
إيموجي,صعب,🚪 💨 🔒 😌 — ما المثل؟,الباب اللي يجيك منه الريح سدّه واستريح
إيموجي,صعب,🍯 📅 🧅 📅 — ما المثل؟,يوم عسل ويوم بصل
إيموجي,صعب,🦁 🦓 🦒 🦛 🏝️ 🎬 — ما الفيلم؟,ماداغاسكار
إيموجي,صعب,🦣 🐿️ 🌰 ❄️ 🎬 — ما الفيلم؟,عصر الجليد
إيموجي,صعب,🦸 🦸 🦸 💥 🎬 — ما الفيلم؟,المنتقمون (أفنجرز)
إيموجي,تعجيزي,👑 👨 👨 👨 🎭 — ما المسرحية الكويتية؟,سيد الرجال
إيموجي,تعجيزي,🛡️ 🏘️ 🎭 — ما المسرحية الكويتية؟,حامي الديار
إيموجي,تعجيزي,👨 💰 💰 💰 📺 — ما المسلسل الكويتي؟,أبو الملايين
إيموجي,تعجيزي,🚶 🏠 📅 5️⃣ 📺 — ما المسلسل الكويتي؟,زوارة خميس
إيموجي,تعجيزي,😇 ⬇️ 😈 — ما المثل؟,ياما تحت السواهي دواهي
إيموجي,تعجيزي,👨‍🍳 ☠️ 👅 — ما المثل؟,طبّاخ السمّ يذوقه
إيموجي,تعجيزي,🐓 🥚 🗣️ — ما المثل؟,الديك الفصيح من البيضة يصيح
إيموجي,تعجيزي,🪓 ⬇️ 🧠 — ما المثل؟,طاح الفاس بالراس
إيموجي,تعجيزي,🗡️ 🏟️ 👑 🎬 — ما الفيلم؟,المصارع (غلادييتور)
