التصنيف,المستوى,السؤال,الإجابة,الصورة
شعارات,تعجيزي,رمز أيّ جمعيّةٍ سرّيّة هذا؟,الماسونيّة,pic-logo-masonic
شعارات,تعجيزي,شعار أيّ هيئةٍ أمميّة هذا؟,الوكالة الدوليّة للطاقة الذرّيّة,pic-logo-iaea
شعارات,تعجيزي,شعار أيّ ألعابٍ رياضيّة هذا؟,الألعاب البارالمبيّة,pic-logo-paralympic
شعارات,تعجيزي,شعار أيّ منصّة حاوياتٍ برمجيّة هذا؟,دوكر,pic-logo-docker
شعارات,تعجيزي,شعار أيّ مؤسّسةٍ للبرمجيّات مفتوحة المصدر هذا؟,أباتشي,pic-logo-apache
شعارات,تعجيزي,تميمة أيّ لغة برمجةٍ من غوغل هذه؟,غو (Go),pic-logo-gopher
شعارات,تعجيزي,شعار أيّ لغة استعلامٍ للواجهات البرمجيّة هذا؟,غراف كيو إل (GraphQL),pic-logo-graphql
شعارات,تعجيزي,شعار أيّ أداةٍ للتكامل المستمرّ هذا؟,جنكنز,pic-logo-jenkins
شعارات,تعجيزي,شعار أيّ بيئة تشغيلٍ لجافاسكربت هذا؟,دينو,pic-logo-deno
شعارات,تعجيزي,شعار أيّ محرّك ألعابٍ مفتوح المصدر هذا؟,غودو,pic-logo-godot
شعارات,تعجيزي,شعار أيّ مدير حزمٍ لنظام ماك هذا؟,هوم برو,pic-logo-homebrew
