التصنيف,المستوى,السؤال,الإجابة,العائلة
معلومات عامة,سهل,"ما الدولة العربيّة الملقّبة بـ«أرض الكنانة»؟","مصر",
معلومات عامة,سهل,"ما الدولة العربيّة الملقّبة بـ«الخضراء»؟","تونس",
معلومات عامة,سهل,"ما الدولة الملقّبة بـ«بلاد الكنغر»؟","أستراليا",
معلومات عامة,سهل,"ما المدينة الملقّبة بـ«زهرة المدائن»؟","القدس",
معلومات عامة,سهل,"ما القارّة الملقّبة بـ«القارّة العجوز»؟","أوروبا",
معلومات عامة,سهل,"ما الدولة التي استعمرت الهند حتى استقلالها؟","بريطانيا",
معلومات عامة,سهل,"ما الدولة الملقّبة بـ«بلاد العمّ سام»؟","الولايات المتحدة",
معلومات عامة,سهل,"ما المدينة الحجازيّة الملقّبة بـ«مدينة الورود»؟","الطائف",
معلومات عامة,سهل,"ما المدينة المغربيّة الملقّبة بـ«العاصمة العلميّة»؟","فاس",
معلومات عامة,سهل,"ما الدولة الأوروبيّة التي تُشبه خريطتُها الحذاء؟","إيطاليا",
معلومات عامة,سهل,"ما القارّة التي سمّاها الأوروبيّون «العالم الجديد»؟","أمريكا",
معلومات عامة,متوسط,"ما الدولة الملقّبة بـ«الجزيرة الزمرّديّة»؟","أيرلندا",
معلومات عامة,متوسط,"ما المدينة العربيّة الملقّبة بـ«مدينة الياسمين»؟","دمشق",
معلومات عامة,متوسط,"ما المدينة اليمنيّة الملقّبة بـ«ثغر اليمن الباسم»؟","عدن",
معلومات عامة,متوسط,"ما المدينة التي لُقّبت قديماً بـ«دار السلام» وبناها المنصور؟","بغداد",
معلومات عامة,متوسط,"ما الدولة التي يعيش فيها أكبر عدد من المسلمين في العالم؟","إندونيسيا",
معلومات عامة,متوسط,"ما الدولة الأفريقيّة الملقّبة بـ«أرض الألف تلّة»؟","رواندا",
معلومات عامة,متوسط,"ما المدينة الآسيويّة التي يعني اسمها «مدينة الأسد»؟","سنغافورة",
معلومات عامة,متوسط,"ما المدينة الجزائريّة الملقّبة بـ«مدينة الجسور المعلّقة»؟","قسنطينة",
معلومات عامة,متوسط,"في أيّ دولة يُقام مهرجانٌ يتراشق فيه الناس بالطماطم؟","إسبانيا",
معلومات عامة,صعب,"ما الدولة التي استعمرت الكونغو في أفريقيا؟","بلجيكا",
معلومات عامة,صعب,"ما المدينة التي كانت عاصمة ألمانيا الغربيّة؟","بون",
معلومات عامة,صعب,"ما اللغة الأوسع انتشاراً في شرق أفريقيا؟","السواحيلية",
معلومات عامة,صعب,"ما المدينة السعوديّة التي كانت عاصمة الدولة السعوديّة الأولى؟","الدرعية",
معلومات عامة,صعب,"ما المدينة اللبنانيّة الملقّبة بـ«الفيحاء»؟","طرابلس",
معلومات عامة,صعب,"ما أكبر دولةٍ في العالم ليس فيها نهرٌ دائم؟","السعودية",
معلومات عامة,صعب,"ما الدولة التي تضمّ أكبر عددٍ من البحيرات في العالم؟","كندا",
معلومات عامة,صعب,"ما الدولة التي يعني اسمها بالإسبانيّة «الساحل الغنيّ»؟","كوستاريكا",
معلومات عامة,صعب,"ما الدولة التي يعني اسمها بالإسبانيّة «المُنقِذ»؟","السلفادور",
معلومات عامة,صعب,"ما الدولة التي يعني اسمها «البندقيّة الصغيرة»؟","فنزويلا",
معلومات عامة,صعب,"من أيّ ميناءٍ يمنيّ أخذت قهوة «الموكا» اسمها؟","المخا",
معلومات عامة,صعب,"ما المدينة التونسيّة التي بناها عقبة بن نافع وكانت عاصمة إفريقية؟","القيروان",
معلومات عامة,تعجيزي,"ما الدولة التي فيها أكبر عددٍ من الأهرامات في العالم؟","السودان",
معلومات عامة,تعجيزي,"ما الدولة التي تمتدّ أراضيها على أكبر عددٍ من المناطق الزمنيّة؟","فرنسا",
معلومات عامة,تعجيزي,"ما الدولة التي تقويمها ثلاثة عشر شهراً وتحتفل برأس السنة في سبتمبر؟","إثيوبيا",
معلومات عامة,تعجيزي,"ما المدينة التي كانت عاصمة اليابان أكثر من ألف سنة قبل طوكيو؟","كيوتو",
معلومات عامة,تعجيزي,"ما المدينة التي كانت عاصمة مصر في عهد الفراعنة الأوائل؟","منف",
معلومات عامة,تعجيزي,"ما اللغة الرسميّة في أنغولا؟","البرتغالية",
معلومات عامة,تعجيزي,"ما الدولة التي يعني اسمها «أرض الفضّة»؟","الأرجنتين",
معلومات عامة,تعجيزي,"ما الدولة التي سُمّيت باسم شجرة؟","البرازيل",
معلومات عامة,تعجيزي,"ما العاصمة الآسيويّة التي يعني اسمها «العاصمة الشرقيّة»؟","طوكيو",
معلومات عامة,تعجيزي,"ما العاصمة الآسيويّة التي يعني اسمها «العاصمة الشماليّة»؟","بكين",
