التصنيف,المستوى,السؤال,الإجابة,العائلة
مسلسلات خليجية,سهل,في «درب الزلق»، ما مهنة الجار بو صالح؟,بائع ثلج,
مسلسلات خليجية,سهل,في «درب الزلق»، ما اسم العامل الهندي الذي يلقّبه حسين بـ«الخبير»؟,غلام,
مسلسلات خليجية,سهل,في «درب الزلق»، ما العبارة التي اشتهر بها غلام؟,هذا لهم مال كلب,
مسلسلات خليجية,سهل,في «درب الزلق»، ماذا اكتشف الأخوان في شحنة الأحذية التي استورداها؟,كلّها فردة يسار,
مسلسلات خليجية,سهل,في «درب الزلق»، ما الذي أقنع المحتالُ حسينَ بن عاقول بشرائه في مصر؟,الأهرامات,
مسلسلات خليجية,متوسط,في «درب الزلق»، من تزوّجت أمّ سعد فأصيب حسين بانهيار عصبي؟,بو صالح,
مسلسلات خليجية,متوسط,في «درب الزلق»، ما اسم ابنة بو صالح التي أحبّها سعد؟,صالحة,
مسلسلات خليجية,متوسط,في «درب الزلق»، من الفنان الذي أدّى دور «أمّ سعد»؟,عبدالعزيز النمش,
مسلسلات خليجية,متوسط,في «درب الزلق»، ما مهنة الخال قحطة؟,صانع نعال,
مسلسلات خليجية,متوسط,في «درب الزلق»، ما البضاعة التي استوردها حسين ظنّاً أنّ الأجانب سيشترونها؟,لحم كلاب,
مسلسلات خليجية,صعب,من مخرج «درب الزلق»؟,حمدي فريد,حمدي فريد
مسلسلات خليجية,صعب,في «درب الزلق»، ما الاسم الحقيقي لبو صالح؟,خالد المثلاج,
مسلسلات خليجية,صعب,كم حلقةً في «درب الزلق»؟,13,
مسلسلات خليجية,صعب,في «درب الزلق»، من أدّى دور المحتال «فؤاد ابن سعيد باشا»؟,فؤاد راتب,
مسلسلات خليجية,صعب,في «درب الزلق»، ما اسم زوجة قحطة؟,نبوية شبشب,
مسلسلات خليجية,تعجيزي,لمن كُتب دور بو صالح في «درب الزلق» قبل أن يعتذر لظروفٍ صحّية؟,إبراهيم الصلال,
مسلسلات خليجية,تعجيزي,في «درب الزلق»، بماذا لقّب حسين الموظّفَ قصير القامة بو وائل؟,بلبول الشركة,
مسلسلات خليجية,تعجيزي,في «درب الزلق»، ما اسم المطوّع الذي عالج حسين؟,حجي بودمغى,
مسلسلات خليجية,تعجيزي,في «درب الزلق»، من أدّى دور صالح ابن بو صالح؟,سمير القلاف,
مسلسلات خليجية,تعجيزي,في «درب الزلق»، أين حاول حسين الانتحار بعد أن بدّد ثروته؟,الجليب (بئر البيت),
مسلسلات خليجية,سهل,في «خالتي قماشة»، ماذا وضعت قماشة في غرف أبنائها لتراقبهم؟,كاميرات تجسّس,
مسلسلات خليجية,سهل,في «خالتي قماشة»، من أدّت دور «محبوبة» زوجة سلطان؟,سعاد عبدالله,
مسلسلات خليجية,سهل,في «خالتي قماشة»، من أدّى دور «سلطان» آخر العنقود؟,غانم الصالح,
مسلسلات خليجية,سهل,في «خالتي قماشة»، ما اسم ابن قماشة البخيل الذي يعمل دلّالاً في العقارات؟,حنضل,
مسلسلات خليجية,سهل,في «خالتي قماشة»، من أدّى دور حنضل؟,علي المفيدي,
مسلسلات خليجية,متوسط,في «خالتي قماشة»، من اكتشفت سرّ كاميرات التجسّس؟,محبوبة,
مسلسلات خليجية,متوسط,في «خالتي قماشة»، ما اسم ابنة قماشة الوحيدة؟,لطيفة,
مسلسلات خليجية,متوسط,في «خالتي قماشة»، من أدّى دور الحجي مرزوق والد محبوبة؟,خالد النفيسي,
مسلسلات خليجية,متوسط,في «خالتي قماشة»، ما اسم ابن قماشة المطرب المدلّل؟,عادل,
مسلسلات خليجية,متوسط,من كتب «خالتي قماشة»؟,طارق عثمان,
مسلسلات خليجية,صعب,من مخرج «خالتي قماشة»؟,حمدي فريد,حمدي فريد
مسلسلات خليجية,صعب,كم حلقةً في «خالتي قماشة»؟,15,
مسلسلات خليجية,صعب,في «خالتي قماشة»، ما اسم زوجة حنضل أمّ البنات الأربع؟,نسمة,
مسلسلات خليجية,صعب,في «خالتي قماشة»، من أدّت دور «حنان» زوجة عادل؟,مريم الصالح,
مسلسلات خليجية,صعب,في «خالتي قماشة»، من تزوّج الحجي مرزوق بعد وفاة زوجته؟,لطيفة ابنة قماشة,
مسلسلات خليجية,تعجيزي,من كتب كلمات شارة «خالتي قماشة»؟,عبداللطيف البناي,
مسلسلات خليجية,تعجيزي,من لحّن شارة «خالتي قماشة»؟,يوسف ناصر,
مسلسلات خليجية,تعجيزي,في «خالتي قماشة»، ما اسم اليتيم الذي ربّاه الحجي مرزوق ويعمل في بيته؟,مفتاح,
