التصنيف,المستوى,السؤال,الإجابة,العائلة
إيموجي,سهل,🦁 👑 — ما الفيلم؟,الأسد الملك,الأسد الملك
إيموجي,سهل,🚢 🧊 💔 — ما الفيلم؟,تايتانيك,تايتانيك
إيموجي,سهل,🕷️ 🧑 🏙️ — ما الفيلم؟,سبايدرمان,
إيموجي,سهل,🦇 🧑 🌃 — ما الفيلم؟,باتمان,
إيموجي,سهل,🐠 🔍 🌊 — ما الفيلم؟,البحث عن نيمو,
إيموجي,سهل,❄️ 👸 ⛄ — ما الفيلم؟,فروزن (ملكة الثلج),فروزن
إيموجي,سهل,🧞 🪔 🐒 — ما الفيلم؟,علاء الدين,
إيموجي,سهل,🐢 🥷 🍕 — ما الكرتون؟,سلاحف النينجا,
إيموجي,سهل,🧙 ⚡ 👓 — ما الفيلم؟,هاري بوتر,هاري بوتر
إيموجي,سهل,🐼 🥋 🍜 — ما الفيلم؟,كونغ فو باندا,كونغ فو باندا
إيموجي,سهل,🐱 🐭 🏠 — ما الكرتون؟,توم وجيري,
إيموجي,سهل,🥬 💪 ⚓ — ما الكرتون؟,باباي,
إيموجي,سهل,👹 💚 👸 🫏 — ما الفيلم؟,شريك,
إيموجي,سهل,👓 💛 🍌 — ما الفيلم؟,المينيونز,
إيموجي,سهل,🤠 🚀 🧸 — ما الفيلم؟,توي ستوري,
إيموجي,سهل,🧸 🚗 😐 — ما المسلسل الكوميدي؟,مستر بين,
إيموجي,سهل,🤖 🚀 👊 — ما الكرتون؟,غريندايزر,
إيموجي,سهل,⚽ 👦 🥅 — ما الكرتون؟,الكابتن ماجد,
إيموجي,سهل,🦘 🐨 🏄 — ما الدولة؟,أستراليا,
إيموجي,سهل,🌷 🚲 🧀 — ما الدولة؟,هولندا,
إيموجي,متوسط,💊 🔴 🔵 🕶️ — ما الفيلم؟,الماتريكس,ماتريكس
إيموجي,متوسط,💍 🌋 🧙 — ما الفيلم؟,سيد الخواتم,سيد الخواتم
إيموجي,متوسط,⭐ ⚔️ 🚀 — ما الفيلم؟,حرب النجوم,
إيموجي,متوسط,🤖 🔫 🕶️ 🔙 — ما الفيلم؟,تيرمينيتور,
إيموجي,متوسط,⏰ 🚗 ⚡ 🔙 — ما الفيلم؟,العودة إلى المستقبل,
إيموجي,متوسط,🤠 🐍 💎 🏺 — ما الفيلم؟,إنديانا جونز,
إيموجي,متوسط,🏴‍☠️ 💀 🌊 🧭 — ما الفيلم؟,قراصنة الكاريبي,
إيموجي,متوسط,🥊 🏃 🥚 🪜 — ما الفيلم؟,روكي,
إيموجي,متوسط,😊 😢 😡 😨 🤢 — ما الفيلم؟,قلباً وقالباً (إنسايد آوت),
إيموجي,متوسط,🐰 🦊 🚔 — ما الفيلم؟,زوتوبيا,
إيموجي,متوسط,👹 🚪 😱 🏭 — ما الفيلم؟,شركة المرعبين,
إيموجي,متوسط,🐘 👂 ✈️ 🎪 — ما الفيلم؟,دمبو,
إيموجي,متوسط,🐕 🔍 👻 🚐 — ما الكرتون؟,سكوبي دو,
إيموجي,متوسط,🌊 🏝️ 👦 👧 🐟 — ما الكرتون؟,عدنان ولينا,
إيموجي,متوسط,🚢 🧞 🗺️ 👦 — ما الكرتون؟,سندباد,
إيموجي,متوسط,🐝 🌸 🍯 — ما الكرتون؟,زينة ونحول,
إيموجي,متوسط,❤️ 🙈 — ما المثل؟,الحب أعمى,
إيموجي,متوسط,🚫 ➡️ 😍 — ما المثل؟,كل ممنوع مرغوب,
إيموجي,متوسط,🧱 👂 👂 — ما المثل؟,الحيطان لها آذان,
إيموجي,متوسط,🧵 🤥 📏 — ما المثل؟,حبل الكذب قصير,
إيموجي,صعب,👴 🎣 🌊 🐟 📖 — ما الرواية؟,الشيخ والبحر,
إيموجي,صعب,🔪 ⚖️ 😰 📖 — ما الرواية؟,الجريمة والعقاب,
إيموجي,صعب,⚔️ 🕊️ 📖 — ما الرواية؟,الحرب والسلام,
إيموجي,صعب,💯 📅 🧍 📖 — ما الرواية؟,مئة عام من العزلة,
إيموجي,صعب,😭 😭 🇫🇷 📖 — ما الرواية؟,البؤساء,
إيموجي,صعب,🌍 8️⃣0️⃣ 📅 🎈 📖 — ما الرواية؟,حول العالم في ثمانين يوماً,
إيموجي,صعب,🐋 ⚓ 🦵 📖 — ما الرواية؟,موبي ديك,
إيموجي,صعب,🧛 🏰 🦇 📖 — ما الرواية؟,دراكولا,
إيموجي,صعب,🦁 🐂 🦊 📖 — ما الكتاب؟,كليلة ودمنة,كليلة ودمنة
إيموجي,صعب,📖 🌙 1️⃣0️⃣0️⃣1️⃣ — ما الكتاب؟,ألف ليلة وليلة,ألف ليلة وليلة
إيموجي,صعب,👵 🧵 🏠 📺 — ما المسلسل الكويتي؟,خالتي قماشة,
إيموجي,صعب,⚔️ 🐎 🌴 🎭 — ما المسرحية الكويتية؟,سيف العرب,
إيموجي,صعب,🎵 🚪 🗓️ 1️⃣ — ما الأغنية؟,زوروني كل سنة مرة,
إيموجي,صعب,🎵 ☕ 🔮 👩 — ما الأغنية؟,قارئة الفنجان,
إيموجي,صعب,🎵 🚶 🌍 🧳 — ما الأغنية؟,سوّاح,
إيموجي,صعب,🎵 📍 📍 📍 — ما الأغنية؟,الأماكن,
إيموجي,صعب,🎵 ➕ ❤️ 🔥 — ما الأغنية؟,زيديني عشقاً,
